line,eqn,type
"If we add everything Phillip bought, we will have: $14 + $25 + $6 = $45",14+25+6=45,correct
Then add the rise time to the baking and kneading time: 240 minutes + 10 minutes + 30 minutes = 280 minutes,240+10+30=280,correct
"Together, Phoebe, Calvin, and Grace have 50+30 = 80 pastries.",50+30=80,correct
It takes Max 2 * 40 minutes = 80 minutes to fertilize the lawn.,2*40=80,correct
"Add them all together, and there are 12 history + 8 romance + 4 poetry + 11 mystery + 5 Western + 6 biographies = 46 books total",12+8+4+11+5+6=46,correct
Mr. Curtis has 325 - 28 = 297 hens.,325-28=297,correct
There were originally 50 rabbits so now there are 50-18 = 32 rabbits left,50-18=32,correct
Her brother works at double Kris' speed in the first 15 minutes so he works at 2 balloons per minute * 2 = 4 balloons per minute.,2*2=4,correct
"Adding the $1500 to the value of the second bid, the bid is at 1500 + 1000 =$2500.",1500+1000=2500,correct
"Michael sold 2 large birdhouses for $22 each, so he made 2*$22= $44 from large birdhouse sales.",2*22=44,correct
Each of her aunts and uncles have a family unit of 1 son + 1 daughter + 1 aunt/uncle = 3 people.,1+1+1=3,correct
"Since last night Kannon had 3 apples, today she'll eat 3+4 = 7 apples.",3+4=7,correct
Mrs. Lacson sold a total of 20 + 15 = 35 sweet potatoes.,20+15=35,correct
"After Wednesday, Jeff was left with 23 - 6 = 17 cats.",23-6=17,correct
"For his nap, he has 9 - 6 = 3 hours left.",9-6=3,correct
Michael has used a total of 30 matchstick houses * 10 matchsticks per matchstick house = 300 matchsticks.,30*10=300,correct
"Before going to bed, Rachel did a total of 5 * 12 = 60 problems.",5*12=60,correct
"Since the father's age is five times that of the son, currently he is 5*7 = 35 years old.",5*7=35,correct
The four cats weigh 48 pounds in total because 12 plus 12 plus 14.7 plus 9.3 equals 48.,12+12+14.7+9.3=48,correct
So he needs to add 120/40=3 miles per week,120/40=3,correct
"If Boyd has 100 friends, he has 100-64 = 36 boys",100-64=36,correct
"The sandbox is 3' long, 3' wide so the sq footage of the sandbox is 3*3 = 9 sq ft",3*3=9,correct
So he makes a total of 250+750=$1000 per day,250+750=1000,correct
Then multiply that number by 25% to find the number of babies: 8 panda couples * 25% = 2 panda babies,8*25*.01=2,correct
Frog eats 6 x 3 = 18 bugs.,6*3=18,correct
Each rung is 18/12=1.5 feet,18/12=1.5,correct
He wants enough to last him 90 days and he uses 2 packets a day so that's 90*2 = 180 packets,90*2=180,correct
This leaves 100-10=90 students in attendance.,100-10=90,correct
Dan finds 2 more dimes on his way home so he now has 50+2 = 52 dimes,50+2=52,correct
"So, four bottles cost 0.50 € * 4 = 2 €.",0.50*4=2,correct
The shop offers 100 flavors and she has had 75 flavors so she still needs to try 100-75 = 25 flavors,100-75=25,correct
The percentage of comic books is 20 because 100 - 65 - 15 = 20,100-65-15=20,correct
He drinks 15 bottles every month and there are 12 months in 1 year so that's 15*12 = 180 bottles,15*12=180,correct
First find the total amount of time Marcus spends blow-drying his dog: 20 minutes / 2 = 10 minutes,20/2=10,correct
Then divide that number by 6 to find how many kids take more than 14 minutes: 24 kids / 6 = 4 kids,24/6=4,correct
"In total, including the first hour guests, they need to wash this many towels: 50 + 60 + 75 + 100 = 285.",50+60+75+100=285,correct
There are 8 * 5 = 40 flowers on the porch,8*5=40,correct
"The pasta is $1.00, the sauce is $2.00 and the meat is $5.00 for a total of 1+2+5 = $8.00",1+2+5=8.00,correct
It costs 3 / 2 = $1.50 to use peanut butter.,3/2=1.50,correct
The ant food will cost $80 because 800 x .1 = 80,800*.1=80,correct
Then find the time-and-a-half rate for the janitors: $10/hour * 1.5 = $15/hour,10*1.5=15,correct
"Hence, Joan has 6 - 2 = 4 minutes more for answering each question in Math than in English.",6-2=4,correct
The cost of 9 plates is $2 x 9 = $18.,2*9=18,correct
He paid $125000 towards the new home because 500000 x .25 = 125000,500000*.25=125000,correct
He runs for 180 minutes because 3 x 60 = 180,3*60=180,correct
That cost 20*10=$200,20*10=200,correct
He now buys 4/2=2 coffees,4/2=2,correct
Then divide that number by 4 to find how many deer meet both criteria: 92 deer / 4 = 23 deer,92/4=23,correct
"If sitting next to each other, the driver of the yellow car will see 48-42 = 6 feet of the red bus.",48-42=6,correct
1 full-priced toy is $12.00 and 1/2 priced toy is $6.00 so these 2 toys come to 12+6 = $18.00,12+6=18.00,correct
"If Patricia has 4 barrels and each barrel has 7 gallons, then in total she needs 4*7=28 gallons",4*7=28,correct
"If 20% of 220 customers ordered vanilla, then there were 0.2*220=44 customers who ordered vanilla.",0.2*220=44,correct
First find the total number of hours Brendan works for the 8-hour shifts: 2 shifts * 8 hours/shift = 16 hours,2*8=16,correct
She spent $90.00 total and her other purchases totaled $75.00 so she spent 90-75 = $15.00 on paint brushes,90-75=15.00,correct
There are 48/6 = 8 rows of radishes.,48/6=8,correct
The first one runs a mile in 7 minutes because 21 / 3 = 7,21/3=7,correct
His total number of grades is 9 because 3 + 4 +1 +1 = 9,3+4+1+1=9,correct
So in total Maurice would make 60 + 18 = $78 for finishing 30 tasks.,60+18=78,correct
Mary spends 36+36+3= $75 on all the supplies except the paints.,36+36+3=75,correct
"At 5 cents a minute, calling his father cost Freddy 5* 45 = 225 cents.",5*45=225,correct
There is now 90 - 18 = 72 feet of fence left.,90-18=72,correct
Malcom has 28-14 cards = 14 cards remaining.,28-14=14,correct
"Traveling 20 hours due east at 30 kilometers per hour, the ship sailed 20*30=600 kilometers the first day.",20*30=600,correct
"If the project is estimated to take 1500 hours, Anie will need to work for 1500/15 = 100 days to complete the project.",1500/15=100,correct
The gym is 2 more miles than this distance so is 2 + 5 = 7 miles away from his apartment,2+5=7,correct
"Now, July is 3 + 20 = 23 years old",3+20=23,correct
Each green notebook cost $20 / 2 = $10,20/2=10,correct
"If he gathers for 2 hours, the number of minutes gathering is 2 * 60 minutes per hour = 120 minutes of gathering flowers",2*60=120,correct
"So finally, 20 - 16 = 4 students do not play either game.",20-16=4,correct
"So, 106 / 2 = 53 of these animals are male.",106/2=53,correct
"Nellie, Jacob, and Lana all ate until they cried, so they ate 12 + 6 + 3 = 21 candies.",12+6+3=21,correct
There are 40+35=75 flowers that are not roses.,40+35=75,correct
So there will be $50/$10 = 5 pieces of $10 when $50 is changed to $10 bills.,50/10=5,correct
Beth has 24-15 = 9 yellow ones left.,24-15=9,correct
"At a rate of 40 batteries per hour, 10 robots can produce 40 * 5 = 200 batteries in 5 hours.",40*5=200,correct
So he now gets 6+2=8 hours of sleep per night,6+2=8,correct
"To climb a total of 30000 feet, Boris would need to need to climb his mountain 30000/7500=4 times.",30000/7500=4,correct
Then divide Jason's grade by 2 to find Bob's grade: 70 / 2 = 35,70/2=35,correct
Nadine has 20/2 = 10 red pebbles.,20/2=10,correct
He still has to improve by 60 more seconds because 90 - 30 = 60,90-30=60,correct
Thus there were 4 - 1 = 3 liters of water left in the bottle.,4-1=3,correct
"If he is to pay $2700 for two late monthly rent payments, his monthly rent expense is $2700/2=$1350",2700/2=1350,correct
"Over the past five years, the sum of the temperatures was 90+90+90+79+71=420",90+90+90+79+71=420,correct
Then find the total number of pinecones eaten by squirrels: 400 pine cones * 2 = 800 pine cones,400*2=800,correct
2 bars of soap weighed 5 oz each so they weighed 2*5 = 10 oz,2*5=10,correct
Lorelei did 120 jumps + 50 jumps = 170 jumps.,120+50=170,correct
The camp organizer must buy another 567 - 312 = 255 bottles of water.,567-312=255,correct
The volume of the box is 8 x 10 x 12 = 960 cu in.,8*10*12=960,correct
The sum is 9+14+13=36.,9+14+13=36,correct
"Each day, the family uses 7 grams/wash * 3 washes/day = 21 grams.",7*3=21,correct
Subtract the pool water and the drinking and cooking water from the total amount of water Jerry is allowed to use: 1000 gallons - 600 gallons - 100 gallons = 300 gallons,1000-600-100=300,correct
On Thursday she rode 40 + 25 = 65 kilometers.,40+25=65,correct
"So, the Mystic Aquarium needs 4 + 2 + 20 = 26 buckets of fish each day.",4+2+20=26,correct
The average catch of fish per person is 24 fish / 3 people = 8 fish per person.,24/3=8,correct
"Together, Bella will have a total of 14+42+84 = 140 items",14+42+84=140,correct
During the first 3 weeks the factory made 320 caps + 400 caps + 300 caps = 1020 caps total.,320+400+300=1020,correct
"Next Stephanie needs to figure out how many bottles of soy sauce to purchase to get 48 ounces, where 1 bottle has 16 ounces, 48 / 16 = 3 bottles of lower sodium soy sauce.",48/16=3,correct
The total number of adults and calves before the trade is 9 + 5 + 9 + 10 = 33.,9+5+9+10=33,correct
There are 4 children so their average math test score is 376/4 = 94,376/4=94,correct
Sol will sell 10 + 4 = 14 candies on the second day.,10+4=14,correct
"Now calculate the mean amount of time Milly spends on math and geography by dividing the total time spent by the number of subjects, which is 2: 90 minutes / 2 = 45 minutes.",90/2=45,correct
She also scores 90-15 = 75 marks in arts in the first semester.,90-15=75,correct
He will make 7 pit stops plus 2 more for food and 3 more for gas for a total of 7+2+3 = 12 pit stops,7+2+3=12,correct
All three boys place 25 + 50 + 75 = 150 pieces.,25+50+75=150,correct
The total number of books Queen has is 50 books + 10 books = 60 books.,50+10=60,correct
Richard walks 20+4+10 = 34 total miles.,20+4+10=34,correct
"She needed to order pepperoni, sausage, black olive and mushroom, which came to 4 toppings at $1.00 each so 4*1 = $4.00 extra for toppings",4*1=4.00,correct
First find how many liters of the seawater are salt: 2 liters * 20% = .4 liters,2*20*.01=.4,correct
Brian sold houses for 157000 + 499000 + 125000 = $781000 in total.,157000+499000+125000=781000,correct
First find the total cost of the asparagus: 60 bundles * $3/bundle = $180,60*3=180,correct
The tickets cost $10.00 each and he has to buy 2 tickets so that's 10*2 = $20.00,10*2=20.00,correct
First calculate how much the loan shark charges in interest the first month by multiplying the loan amount by the interest rate: $200 * 10% = $20,200*10*.01=20,correct
"In total, Maggie sells 4+1+2+4 = 11 subscriptions",4+1+2+4=11,correct
Then add the number of cans of each type of food to find the total number of cans per batch: 3 cans + 2 cans + 1 can = 6 cans,3+2+1=6,correct
Chandler still needs to sell 12 rolls - 10 rolls = 2 rolls.,12-10=2,correct
The third neighborhood uses 300 + 100 = 400 barrels of water.,300+100=400,correct
Then find the total cost per member: $180 + $72 + $150 = $402/member.,180+72+150=402,correct
Jess' second stack was 7 blocks + 5 blocks = 12 blocks.,7+5=12,correct
First find the total number of basil leaves: 3 pots * 4 leaves/pot = 12 leaves,3*4=12,correct
He wrote 25 - 5 = 20 songs that were never released.,25-5=20,correct
"Gabriel has twice Jaxon's, Gabriel got 2*15 = 30 toys.",2*15=30,correct
Eli has 11 x 3 = 33 lemons.,11*3=33,correct
Gold = 141,141=141,correct
Annie has a total of 18+6= 24 toys.,18+6=24,correct
"So she uses a total of 5 + 10 + 15 = 30 blue, red, and white beads.",5+10+15=30,correct
There are 20 x 2 = 40 students in the band.,20*2=40,correct
2 weeks have 2 weeks* 7 days per week = 14 days,2*7=14,correct
"Each lunch is $7, so lunch for the field trip costs $7 per lunch * 44 lunches = $308 total",7*44=308,correct
Total number of shirts Sally sews is 4 + 3 + 2 = 9 shirts.,4+3+2=9,correct
She had bought 3+5+2 = 10 candies over the week,3+5+2=10,correct
"Total of blue, purple, and orange jellybeans is 14+26+40 = 80",14+26+40=80,correct
The supplies for every student will cost 5 + 2 + 1 = $8.,5+2+1=8,correct
Jacob found 13 shells + 2 shells = 15 shells at the beach.,13+2=15,correct
There are 30+15+40=85 minutes accounted for.,30+15+40=85,correct
So they use 12*3=36 plates per day,12*3=36,correct
The number of truck stamps is 11 + 9 = 20.,11+9=20,correct
Two boxes of popcorn cost $1.5 x 2 = $3.,1.5*2=3,correct
So the total drive was 30+36=66 miles.,30+36=66,correct
Each dog consumes 1.5 x 3 = 4.5 cups of food a day.,1.5*3=4.5,correct
Now multiply the number of truckloads by the cost per truckload: $75/truckload * 50 truckloads = $3750,75*50=3750,correct
So she spends 1*7=7 hours a week,1*7=7,correct
"Thus, the movie theater operates for 9 + 2 = 11 hours each day.",9+2=11,correct
Tabitha has 8.5-2.5 = 6 dollars left.,8.5-2.5=6,correct
"If in one hour he covers 10 miles and rides for 15 miles at the rate of 10 miles per hour, then the time taken for the 15 miles will be 15/10 = 1.5 hours.",15/10=1.5,correct
This leaves him with 50 bushels - 24.5 bushels = 25.5 bushels of corn.,50-24.5=25.5,correct
Liam sold 40/2 = 20 sets of oranges that cost $2.50 for each set.,40/2=20,correct
So he pays 3*$50 = $150 a year,3*50=150,correct
Allison bought 30/6=5 packs of construction paper.,30/6=5,correct
Each chicken lays 7 * 3 = 21 eggs a week,7*3=21,correct
Jaylen has (20 / 2) - 3 = 7 green beans,20/2-3=7,correct
"In the first verse, 30 / 2 = 15 singers sang.",30/2=15,correct
Half the number of times Stephanie fell is 16/2 = 8 times.,16/2=8,correct
Half of the book means 500 / 2 = 250 pages.,500/2=250,correct
So there are still 100 - 70 = 30 photos left to be placed on the album.,100-70=30,correct
The first three web pages had 48+36 = 84 ads,48+36=84,correct
A total of 5 + 27 = 32 crayons need to be placed in the boxes.,5+27=32,correct
Jake has 1100-275 = $825 left.,1100-275=825,correct
So he has a profit of 369360-246240=$123120,369360-246240=123120,correct
His agent took 1800000*.1=$180000,1800000*.1=180000,correct
