index,tier,model,mutation_type,erroneous_line_number,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc,mutation_details,filepath,solution_line_count,error_line_numeric,error_position_ratio,position_bin,validator
5636,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,initial_food_cost,9,6,-6200291440195435299,2025-07-21,12:32:40,"{""type"": ""incomplete_calculation"", ""target_variable"": ""initial_food_cost"", ""operand_to_remove"": ""eggs_cost"", ""original_operands"": [""cocoa_mug_cost"", ""cocoa_mug_cost"", ""eggs_cost"", ""pancakes_cost_initial""]}",data/conceptual-error-candidates/tier1/5636/google_gemini-2.5-flash_incomplete_calculation_initial_food_cost_.json,4,1,0.25,early,ling
6775,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,people_per_family_unit,3,2,5044218696495822484,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""people_per_family_unit"", ""operand_to_remove"": ""num_son_per_unit"", ""original_operands"": [""num_aunt_uncle_per_unit"", ""num_daughter_per_unit"", ""num_son_per_unit""]}",data/conceptual-error-candidates/tier1/6775/google_gemini-2.5-flash_incomplete_calculation_people_per_family_unit_.json,4,1,0.25,early,ali
7080,tier1,google_gemini-2.5-flash,incomplete_calculation,L1,total_hours_worked,19,12,-2843483383559977873,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_hours_worked"", ""operand_to_remove"": ""hours_wednesday"", ""original_operands"": [""hours_monday"", ""hours_tuesday"", ""hours_wednesday""]}",data/conceptual-error-candidates/tier1/7080/google_gemini-2.5-flash_incomplete_calculation_total_hours_worked_.json,4,1,0.25,early,arvind
72,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,aquarium_volume,72,24,3750015159875089008,2025-07-21,12:32:42,"{""type"": ""incomplete_calculation"", ""target_variable"": ""aquarium_volume"", ""operand_to_remove"": ""height"", ""original_operands"": [""height"", ""length"", ""width""]}",data/conceptual-error-candidates/tier3/72/google_gemini-2.5-flash_incomplete_calculation_aquarium_volume_.json,4,1,0.25,early,mauro
1215,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_people,8,6,-6542440562042468456,2025-07-21,12:32:42,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_people"", ""operand_to_remove"": ""kids_count"", ""original_operands"": [""brian_count"", ""in_laws_count"", ""kids_count"", ""parents_count"", ""wife_count""]}",data/conceptual-error-candidates/tier3/1215/google_gemini-2.5-flash_incomplete_calculation_total_people_.json,5,1,0.2,early,ling
1445,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_words,900,700,-306684835633991530,2025-07-21,12:32:42,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_words"", ""operand_to_remove"": ""first_book_words"", ""original_operands"": [""first_book_words"", ""second_book_words"", ""third_book_words""]}",data/conceptual-error-candidates/tier3/1445/google_gemini-2.5-flash_incomplete_calculation_total_words_.json,4,1,0.25,early,ali
2288,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_ratio_parts,15,10,-6774098223541279012,2025-07-21,12:32:43,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_ratio_parts"", ""operand_to_remove"": ""ratio_alex"", ""original_operands"": [""ratio_alex"", ""ratio_brittany"", ""ratio_jamy""]}",data/conceptual-error-candidates/tier3/2288/google_gemini-2.5-flash_incomplete_calculation_total_ratio_parts_.json,5,1,0.2,early,ali
2648,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_ratio_parts,14,7,4643429954207773555,2025-07-21,12:32:43,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_ratio_parts"", ""operand_to_remove"": ""michelle_ratio_part"", ""original_operands"": [""beckham_ratio_part"", ""halima_ratio_part"", ""michelle_ratio_part""]}",data/conceptual-error-candidates/tier3/2648/google_gemini-2.5-flash_incomplete_calculation_total_ratio_parts_.json,4,1,0.25,early,arvind
2764,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,initial_animals,138,38,789985294028762159,2025-07-21,12:32:43,"{""type"": ""incomplete_calculation"", ""target_variable"": ""initial_animals"", ""operand_to_remove"": ""horses"", ""original_operands"": [""chickens"", ""horses"", ""sheep""]}",data/conceptual-error-candidates/tier3/2764/google_gemini-2.5-flash_incomplete_calculation_initial_animals_.json,4,1,0.25,early,arvind
3140,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,non_student_rows,5,3,522322319777721492,2025-07-21,12:32:43,"{""type"": ""incomplete_calculation"", ""target_variable"": ""non_student_rows"", ""operand_to_remove"": ""rows_for_parents"", ""original_operands"": [""rows_for_admin_teachers"", ""rows_for_awardees"", ""rows_for_parents""]}",data/conceptual-error-candidates/tier3/3140/google_gemini-2.5-flash_incomplete_calculation_non_student_rows_.json,5,1,0.2,early,yewei
4173,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_sauce_cups,5,4,2331322584449204149,2025-07-21,12:32:43,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_sauce_cups"", ""operand_to_remove"": ""vinegar_cups"", ""original_operands"": [""honey_cups"", ""ketchup_cups"", ""vinegar_cups""]}",data/conceptual-error-candidates/tier3/4173/google_gemini-2.5-flash_incomplete_calculation_total_sauce_cups_.json,4,1,0.25,early,mauro
4312,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,bulbs_bedroom_bathroom_kitchen_basement,8,4,2571798221703871358,2025-07-21,12:32:44,"{""type"": ""incomplete_calculation"", ""target_variable"": ""bulbs_bedroom_bathroom_kitchen_basement"", ""operand_to_remove"": ""basement_bulbs"", ""original_operands"": [""basement_bulbs"", ""bathroom_bulbs"", ""bedroom_bulbs"", ""kitchen_bulbs""]}",data/conceptual-error-candidates/tier3/4312/google_gemini-2.5-flash_incomplete_calculation_bulbs_bedroom_bathroom_kitchen_basement_.json,4,1,0.25,early,ali
4627,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,total_borrowed,90,50,5903059774443634987,2025-07-21,12:32:44,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_borrowed"", ""operand_to_remove"": ""borrowed_father"", ""original_operands"": [""borrowed_brother"", ""borrowed_father"", ""borrowed_mother""]}",data/conceptual-error-candidates/tier3/4627/google_gemini-2.5-flash_incomplete_calculation_total_borrowed_.json,5,1,0.2,early,yewei
6382,tier3,google_gemini-2.5-flash,incomplete_calculation,L1,first_three_groups_children,42,28,-7865328726457513149,2025-07-21,12:32:44,"{""type"": ""incomplete_calculation"", ""target_variable"": ""first_three_groups_children"", ""operand_to_remove"": ""first_group_children"", ""original_operands"": [""first_group_children"", ""second_group_children"", ""third_group_children""]}",data/conceptual-error-candidates/tier3/6382/google_gemini-2.5-flash_incomplete_calculation_first_three_groups_children_.json,7,1,0.14285714285714285,early,mauro
26,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,salt_volume_liters,0.4,0.02,75632041035035589,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""salt_volume_liters"", ""operand_to_remove"": ""salt_percentage_num"", ""original_operands"": [""percent_to_decimal_factor"", ""salt_percentage_num"", ""seawater_volume_liters""]}",data/conceptual-error-candidates/tier2/26/google_gemini-2.5-flash_incomplete_calculation_salt_volume_liters_.json,2,1,0.5,middle,mauro
456,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,total_income,1150.0,900.0,1767476452276387530,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_income"", ""operand_to_remove"": ""birthday_income"", ""original_operands"": [""birthday_income"", ""mowing_yards_income"", ""odd_jobs_income"", ""selling_games_income""]}",data/conceptual-error-candidates/tier2/456/google_gemini-2.5-flash_incomplete_calculation_total_income_.json,2,1,0.5,middle,ali
754,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,sundae_total_cost,35.0,25.0,488849357495594255,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""sundae_total_cost"", ""operand_to_remove"": ""brant_sundae_cost"", ""original_operands"": [""alicia_sundae_cost"", ""brant_sundae_cost"", ""josh_sundae_cost"", ""yvette_sundae_cost""]}",data/conceptual-error-candidates/tier2/754/google_gemini-2.5-flash_incomplete_calculation_sundae_total_cost_.json,3,1,0.3333333333333333,middle,arvind
765,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,fresh_peaches,150.0,15000,6682158989423083511,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""fresh_peaches"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""fresh_percentage_num"", ""percent_factor"", ""total_peaches""]}",data/conceptual-error-candidates/tier2/765/google_gemini-2.5-flash_incomplete_calculation_fresh_peaches_.json,2,1,0.5,middle,mauro
1012,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,total_sales,781000,656000,-4434967337925075403,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_sales"", ""operand_to_remove"": ""house_price_3"", ""original_operands"": [""house_price_1"", ""house_price_2"", ""house_price_3""]}",data/conceptual-error-candidates/tier2/1012/google_gemini-2.5-flash_incomplete_calculation_total_sales_.json,2,1,0.5,middle,mauro
1382,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,monthly_payment,7.0,700,7294922733660136735,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""monthly_payment"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""monthly_subscription_cost"", ""percent_factor"", ""split_percent_text""]}",data/conceptual-error-candidates/tier2/1382/google_gemini-2.5-flash_incomplete_calculation_monthly_payment_.json,2,1,0.5,middle,ling
3245,tier2,google_gemini-2.5-flash,incomplete_calculation,L2,twigs_four_leaves,810.0,27.0,-1625568829635748170,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""twigs_four_leaves"", ""operand_to_remove"": ""percent_four_leaves"", ""original_operands"": [""percent_four_leaves"", ""percent_to_decimal_factor"", ""total_twigs""]}",data/conceptual-error-candidates/tier2/3245/google_gemini-2.5-flash_incomplete_calculation_twigs_four_leaves_.json,6,2,0.3333333333333333,middle,mauro
3265,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,carmen_brush_length_inches,18.0,1800,931793389264992599,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""carmen_brush_length_inches"", ""operand_to_remove"": ""percent_factor"", ""original_operands"": [""carla_brush_length_inches"", ""carmen_longer_percent_num"", ""percent_factor""]}",data/conceptual-error-candidates/tier2/3265/google_gemini-2.5-flash_incomplete_calculation_carmen_brush_length_inches_.json,2,1,0.5,middle,ali
3552,tier2,google_gemini-2.5-flash,incomplete_calculation,L1,total_capacity_records,240,80,4845275674262397616,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""total_capacity_records"", ""operand_to_remove"": ""shelves_per_case"", ""original_operands"": [""num_cases"", ""records_per_shelf"", ""shelves_per_case""]}",data/conceptual-error-candidates/tier2/3552/google_gemini-2.5-flash_incomplete_calculation_total_capacity_records_.json,3,1,0.3333333333333333,middle,ali
3893,tier2,google_gemini-2.5-flash,incomplete_calculation,L2,quarters_value,10.0,40,1218953972831444428,2025-07-21,12:32:41,"{""type"": ""incomplete_calculation"", ""target_variable"": ""quarters_value"", ""operand_to_remove"": ""value_per_quarter"", ""original_operands"": [""coins_per_pile"", ""piles_of_quarters"", ""value_per_quarter""]}",data/conceptual-error-candidates/tier2/3893/google_gemini-2.5-flash_incomplete_calculation_quarters_value_.json,6,2,0.3333333333333333,middle,ling
