problem_index,rigorous_score,expected_json,predicted_json,full_prediction_text,sanitized_predicted_json,sanitized_expected_json,new_rigorous_score,score_difference
4156,1.0,"{""L1"": ""20*0.5=10"", ""L2"": ""12*(1/3)=4"", ""L3"": ""20-10=13"", ""L4"": ""12-4=8"", ""L5"": ""13+8=21"", ""FA"": """"}","{""L1"": ""20*0.5=10"", ""L2"": ""12*1/3=4"", ""L3"": ""20-10=13"", ""L4"": ""12-4=8"", ""L5"": ""13+8=21"", ""FA"": """"}","{
  ""L1"": ""20*0.5=10"",
  ""L2"": ""12*1/3=4"",
  ""L3"": ""20-10=13"",
  ""L4"": ""12-4=8"",
  ""L5"": ""13+8=21"",
  ""FA"": """"
}","{'L1': '20*0.5=10', 'L2': '12*1/3=4', 'L3': '20-10=13', 'L4': '12-4=8', 'L5': '13+8=21', 'FA': ''}","{'L1': '20*0.5=10', 'L2': '12*(1/3)=4', 'L3': '20-10=13', 'L4': '12-4=8', 'L5': '13+8=21', 'FA': ''}",1.0,0.0
7010,1.0,"{""L1"": ""3*1=3"", ""L2"": ""3+5+73=18"", ""L3"": ""18/3=6"", ""FA"": """"}","{""L1"": ""3*1=3"", ""L2"": ""3+5+73=18"", ""L3"": ""18/3=6"", ""FA"": """"}","{
  ""L1"": ""3*1=3"",
  ""L2"": ""3+5+73=18"",
  ""L3"": ""18/3=6"",
  ""FA"": """"
}","{'L1': '3*1=3', 'L2': '3+5+73=18', 'L3': '18/3=6', 'FA': ''}","{'L1': '3*1=3', 'L2': '3+5+73=18', 'L3': '18/3=6', 'FA': ''}",1.0,0.0
6237,0.2857142857142857,"{""L1"": ""2*8=16"", ""L2"": ""16+12=28"", ""L3"": ""6*28=618"", ""L4"": ""12*28=336"", ""L5"": ""336/3=112"", ""L6"": ""618+112=730"", ""L7"": ""730*0.2=146"", ""FA"": """"}","{""L1"": ""2*8=16"", ""L2"": ""16+12=28"", ""L3"": ""6/hour*28=618/week"", ""L4"": ""12/hour*28/week=336/week"", ""L5"": ""336/3=112/week"", ""L6"": ""618+112=730/week"", ""L7"": ""730*0.2=146/week"", ""FA"": """"}","{
  ""L1"": ""2*8=16"",
  ""L2"": ""16+12=28"",
  ""L3"": ""6/hour*28=618/week"",
  ""L4"": ""12/hour*28/week=336/week"",
  ""L5"": ""336/3=112/week"",
  ""L6"": ""618+112=730/week"",
  ""L7"": ""730*0.2=146/week"",
  ""FA"": """"
}","{'L1': '2*8=16', 'L2': '16+12=28', 'L3': '6*28=618', 'L4': '12*28=336', 'L5': '336/3=112', 'L6': '618+112=730', 'L7': '730*0.2=146', 'FA': ''}","{'L1': '2*8=16', 'L2': '16+12=28', 'L3': '6*28=618', 'L4': '12*28=336', 'L5': '336/3=112', 'L6': '618+112=730', 'L7': '730*0.2=146', 'FA': ''}",1.0,0.7142857142857143
6558,1.0,"{""L1"": ""20/8=2.5"", ""L2"": ""2.5*6=51"", ""FA"": """"}","{""L1"": ""20/8=2.5"", ""L2"": ""2.5*6=51"", ""FA"": """"}","{
  ""L1"": ""20/8=2.5"",
  ""L2"": ""2.5*6=51"",
  ""FA"": """"
}","{'L1': '20/8=2.5', 'L2': '2.5*6=51', 'FA': ''}","{'L1': '20/8=2.5', 'L2': '2.5*6=51', 'FA': ''}",1.0,0.0
4986,1.0,"{""L1"": ""4+2+0.5+2.5=9"", ""L2"": ""9/6=1.5"", ""L3"": ""6-2=8"", ""L4"": ""8*1.5=12"", ""FA"": """"}","{""L1"": ""4+2+0.5+2.5=9"", ""L2"": ""9/6=1.5"", ""L3"": ""6-2=8"", ""L4"": ""8*1.5=12"", ""FA"": """"}","{
  ""L1"": ""4+2+0.5+2.5=9"",
  ""L2"": ""9/6=1.5"",
  ""L3"": ""6-2=8"",
  ""L4"": ""8*1.5=12"",
  ""FA"": """"
}","{'L1': '4+2+0.5+2.5=9', 'L2': '9/6=1.5', 'L3': '6-2=8', 'L4': '8*1.5=12', 'FA': ''}","{'L1': '4+2+0.5+2.5=9', 'L2': '9/6=1.5', 'L3': '6-2=8', 'L4': '8*1.5=12', 'FA': ''}",1.0,0.0
6909,1.0,"{""L1"": ""75/50=15"", ""L2"": ""8*15=120"", ""FA"": """"}","{""L1"": ""75/50=15"", ""L2"": ""8*15=120"", ""FA"": """"}","{
  ""L1"": ""75/50=15"",
  ""L2"": ""8*15=120"",
  ""FA"": """"
}","{'L1': '75/50=15', 'L2': '8*15=120', 'FA': ''}","{'L1': '75/50=15', 'L2': '8*15=120', 'FA': ''}",1.0,0.0
5489,1.0,"{""L1"": ""0.45*30=135"", ""L2"": ""135/0.5=270"", ""FA"": """"}","{""L1"": ""0.45*30=135"", ""L2"": ""135/0.5=270"", ""FA"": """"}","{
  ""L1"": ""0.45*30=135"",
  ""L2"": ""135/0.5=270"",
  ""FA"": """"
}","{'L1': '0.45*30=135', 'L2': '135/0.5=270', 'FA': ''}","{'L1': '0.45*30=135', 'L2': '135/0.5=270', 'FA': ''}",1.0,0.0
5450,0.8,"{""L1"": ""15*4=60"", ""L2"": ""60*6=360"", ""L3"": ""25/100=0.25"", ""L4"": ""360*0.25=90"", ""L5"": ""360-90=207"", ""FA"": """"}","{""L1"": ""15*4=60"", ""L2"": ""60*6=360"", ""L3"": ""25*(6)-360=0.25*(6-360) (percent divided by 100)-90"", ""L4"": ""360*0.25=90"", ""L5"": ""360-90=207"", ""FA"": """"}","{
  ""L1"": ""15*4=60"",
  ""L2"": ""60*6=360"",
  ""L3"": ""25*(6)-360=0.25*(6-360) (percent divided by 100)-90"",
  ""L4"": ""360*0.25=90"",
  ""L5"": ""360-90=207"",
  ""FA"": """"
}","{'L1': '15*4=60', 'L2': '60*6=360', 'L3': '25*(6)-360=0.25*(6-360)(100)-90', 'L4': '360*0.25=90', 'L5': '360-90=207', 'FA': ''}","{'L1': '15*4=60', 'L2': '60*6=360', 'L3': '25/100=0.25', 'L4': '360*0.25=90', 'L5': '360-90=207', 'FA': ''}",0.8,0.0
4966,1.0,"{""L1"": ""(2/100)*90=1.8"", ""L2"": ""(2/100)*60=1.2"", ""L3"": ""90+1.8+1.2=93"", ""L4"": ""400-93=308"", ""FA"": """"}","{""L1"": ""2/100*90=1.8"", ""L2"": ""2/100*60=1.2"", ""L3"": ""90+1.8+1.2=93"", ""L4"": ""400-93=308"", ""FA"": """"}","{
  ""L1"": ""2/100*90=1.8"",
  ""L2"": ""2/100*60=1.2"",
  ""L3"": ""90+1.8+1.2=93"",
  ""L4"": ""400-93=308"",
  ""FA"": """"
}","{'L1': '2/100*90=1.8', 'L2': '2/100*60=1.2', 'L3': '90+1.8+1.2=93', 'L4': '400-93=308', 'FA': ''}","{'L1': '(2/100)*90=1.8', 'L2': '(2/100)*60=1.2', 'L3': '90+1.8+1.2=93', 'L4': '400-93=308', 'FA': ''}",1.0,0.0
2420,1.0,"{""L1"": ""12*1.25=51"", ""L2"": ""51+21=72"", ""L3"": ""72/12=6"", ""FA"": """"}","{""L1"": ""12*1.25=51"", ""L2"": ""51+21=72"", ""L3"": ""72/12=6"", ""FA"": """"}","{
  ""L1"": ""12*1.25=51"",
  ""L2"": ""51+21=72"",
  ""L3"": ""72/12=6"",
  ""FA"": """"
}","{'L1': '12*1.25=51', 'L2': '51+21=72', 'L3': '72/12=6', 'FA': ''}","{'L1': '12*1.25=51', 'L2': '51+21=72', 'L3': '72/12=6', 'FA': ''}",1.0,0.0
6474,1.0,"{""L1"": ""300*4=1020"", ""L2"": ""350*3.5=1225"", ""L3"": ""1225-1020=205"", ""FA"": """"}","{""L1"": ""300*4=1020"", ""L2"": ""350*3.5=1225"", ""L3"": ""1225-1020=205"", ""FA"": """"}","{
  ""L1"": ""300*4=1020"",
  ""L2"": ""350*3.5=1225"",
  ""L3"": ""1225-1020=205"",
  ""FA"": """"
}","{'L1': '300*4=1020', 'L2': '350*3.5=1225', 'L3': '1225-1020=205', 'FA': ''}","{'L1': '300*4=1020', 'L2': '350*3.5=1225', 'L3': '1225-1020=205', 'FA': ''}",1.0,0.0
3287,0.5,"{""L1"": ""100*2=200"", ""L2"": ""100*250*0.01=250"", ""L3"": ""100*2=200"", ""L4"": ""200+250+200=605"", ""FA"": """"}","{""L1"": ""100*2=200"", ""L2"": ""100*250*250=250/100*2=250/2=200"", ""L3"": ""100/1=200"", ""L4"": ""200+250+200=605"", ""FA"": """"}","{
  ""L1"": ""100*2=200"",
  ""L2"": ""100*250*250=250/100*2=250/2=200"",
  ""L3"": ""100/1=200"",
  ""L4"": ""200+250+200=605"",
  ""FA"": """"
}","{'L1': '100*2=200', 'L2': '100*250*250=250/100*2=250/2=200', 'L3': '100/1=200', 'L4': '200+250+200=605', 'FA': ''}","{'L1': '100*2=200', 'L2': '100*250*0.01=250', 'L3': '100*2=200', 'L4': '200+250+200=605', 'FA': ''}",0.5,0.0
113,0.75,"{""L1"": ""25*0.2=5"", ""L2"": ""25-5=25"", ""L3"": ""25*2=50"", ""L4"": ""50+25=75"", ""FA"": """"}","{""L1"": ""25*0.2=5"", ""L2"": ""25-5=25"", ""L3"": ""25*2=50"", ""L4"": ""25+5=75"", ""FA"": """"}","{
  ""L1"": ""25*0.2=5"",
  ""L2"": ""25-5=25"",
  ""L3"": ""25*2=50"",
  ""L4"": ""25+5=75"",
  ""FA"": """"
}","{'L1': '25*0.2=5', 'L2': '25-5=25', 'L3': '25*2=50', 'L4': '25+5=75', 'FA': ''}","{'L1': '25*0.2=5', 'L2': '25-5=25', 'L3': '25*2=50', 'L4': '50+25=75', 'FA': ''}",0.75,0.0
3545,1.0,"{""L1"": ""1*2*7=14"", ""L2"": ""0.25*4*7=7"", ""L3"": ""14+7=12"", ""FA"": """"}","{""L1"": ""1*2*7=14"", ""L2"": ""0.25*4*7=7"", ""L3"": ""14+7=12"", ""FA"": """"}","{
  ""L1"": ""1*2*7=14"",
  ""L2"": ""0.25*4*7=7"",
  ""L3"": ""14+7=12"",
  ""FA"": """"
}","{'L1': '1*2*7=14', 'L2': '0.25*4*7=7', 'L3': '14+7=12', 'FA': ''}","{'L1': '1*2*7=14', 'L2': '0.25*4*7=7', 'L3': '14+7=12', 'FA': ''}",1.0,0.0
5128,1.0,"{""L1"": ""100*0.8=80"", ""L2"": ""80*25=2000"", ""L3"": ""2000-1000=1003"", ""FA"": """"}","{""L1"": ""100*0.8=80"", ""L2"": ""80*25=2000"", ""L3"": ""2000-1000=1003"", ""FA"": """"}","{
  ""L1"": ""100*0.8=80"",
  ""L2"": ""80*25=2000"",
  ""L3"": ""2000-1000=1003"",
  ""FA"": """"
}","{'L1': '100*0.8=80', 'L2': '80*25=2000', 'L3': '2000-1000=1003', 'FA': ''}","{'L1': '100*0.8=80', 'L2': '80*25=2000', 'L3': '2000-1000=1003', 'FA': ''}",1.0,0.0
6939,1.0,"{""L1"": ""9*22=918"", ""L2"": ""22+4=26"", ""L3"": ""918+26=944"", ""L4"": ""944*0.5=472"", ""FA"": """"}","{""L1"": ""9*22=918"", ""L2"": ""22+4=26"", ""L3"": ""918+26=944"", ""L4"": ""944*0.5=472"", ""FA"": """"}","{
  ""L1"": ""9*22=918"",
  ""L2"": ""22+4=26"",
  ""L3"": ""918+26=944"",
  ""L4"": ""944*0.5=472"",
  ""FA"": """"
}","{'L1': '9*22=918', 'L2': '22+4=26', 'L3': '918+26=944', 'L4': '944*0.5=472', 'FA': ''}","{'L1': '9*22=918', 'L2': '22+4=26', 'L3': '918+26=944', 'L4': '944*0.5=472', 'FA': ''}",1.0,0.0
6116,0.6666666666666666,"{""L1"": ""8*200=1060"", ""L2"": ""1060*30*0.01=318"", ""L3"": ""318*4=1272"", ""FA"": """"}","{""L1"": ""8*200=1060"", ""L2"": ""1060*30%=318"", ""L3"": ""318*4=1272"", ""FA"": """"}","{
  ""L1"": ""8*200=1060"",
  ""L2"": ""1060*30%=318"",
  ""L3"": ""318*4=1272"",
  ""FA"": """"
}","{'L1': '8*200=1060', 'L2': '1060*30=318', 'L3': '318*4=1272', 'FA': ''}","{'L1': '8*200=1060', 'L2': '1060*30*0.01=318', 'L3': '318*4=1272', 'FA': ''}",0.6666666666666666,0.0
4817,1.0,"{""L1"": ""250*0.4=10"", ""L2"": ""250+10=260"", ""L3"": ""260*0.1=26"", ""L4"": ""260-26=234"", ""FA"": """"}","{""L1"": ""250*0.4=10"", ""L2"": ""250+10=260"", ""L3"": ""260*0.1=26"", ""L4"": ""260-26=234"", ""FA"": """"}","{
  ""L1"": ""250*0.4=10"",
  ""L2"": ""250+10=260"",
  ""L3"": ""260*0.1=26"",
  ""L4"": ""260-26=234"",
  ""FA"": """"
}","{'L1': '250*0.4=10', 'L2': '250+10=260', 'L3': '260*0.1=26', 'L4': '260-26=234', 'FA': ''}","{'L1': '250*0.4=10', 'L2': '250+10=260', 'L3': '260*0.1=26', 'L4': '260-26=234', 'FA': ''}",1.0,0.0
3547,0.875,"{""L1"": ""8000*0.3=2400"", ""L2"": ""8000-2400=5600"", ""L3"": ""6-2-1=3"", ""L4"": ""8000*0.5=4000"", ""L5"": ""8000+4000=1200"", ""L6"": ""3*1200=3600"", ""L7"": ""8000*2=16000"", ""L8"": ""5600+16000+3600=25200"", ""FA"": """"}","{""L1"": ""8000*0.3=2400"", ""L2"": ""8000-2400=5600"", ""L3"": ""6-2-1=3"", ""L4"": ""8000*0.5=4000"", ""L5"": ""8000+4000=1200"", ""L6"": ""3*1200=3600"", ""L7"": ""8000*2=16000"", ""L8"": ""5600+16000=1200"", ""FA"": """"}","{
  ""L1"": ""8000*0.3=2400"",
  ""L2"": ""8000-2400=5600"",
  ""L3"": ""6-2-1=3"",
  ""L4"": ""8000*0.5=4000"",
  ""L5"": ""8000+4000=1200"",
  ""L6"": ""3*1200=3600"",
  ""L7"": ""8000*2=16000"",
  ""L8"": ""5600+16000=1200"",
  ""FA"": """"
}","{'L1': '8000*0.3=2400', 'L2': '8000-2400=5600', 'L3': '6-2-1=3', 'L4': '8000*0.5=4000', 'L5': '8000+4000=1200', 'L6': '3*1200=3600', 'L7': '8000*2=16000', 'L8': '5600+16000=1200', 'FA': ''}","{'L1': '8000*0.3=2400', 'L2': '8000-2400=5600', 'L3': '6-2-1=3', 'L4': '8000*0.5=4000', 'L5': '8000+4000=1200', 'L6': '3*1200=3600', 'L7': '8000*2=16000', 'L8': '5600+16000+3600=25200', 'FA': ''}",0.875,0.0
6669,1.0,"{""L1"": ""5*0.5=2.5"", ""L2"": ""3*1.25=3.75"", ""L3"": ""2*0.75=1.5"", ""L4"": ""2.5+3.75+1.5+4.25=12"", ""L5"": ""30*12=360"", ""L6"": ""360-100=255"", ""FA"": """"}","{""L1"": ""5*0.5=2.5"", ""L2"": ""3*1.25=3.75"", ""L3"": ""2*0.75=1.5"", ""L4"": ""2.5+3.75+1.5+4.25=12"", ""L5"": ""30*12=360"", ""L6"": ""360-100=255"", ""FA"": """"}","{
  ""L1"": ""5*0.5=2.5"",
  ""L2"": ""3*1.25=3.75"",
  ""L3"": ""2*0.75=1.5"",
  ""L4"": ""2.5+3.75+1.5+4.25=12"",
  ""L5"": ""30*12=360"",
  ""L6"": ""360-100=255"",
  ""FA"": """"
}","{'L1': '5*0.5=2.5', 'L2': '3*1.25=3.75', 'L3': '2*0.75=1.5', 'L4': '2.5+3.75+1.5+4.25=12', 'L5': '30*12=360', 'L6': '360-100=255', 'FA': ''}","{'L1': '5*0.5=2.5', 'L2': '3*1.25=3.75', 'L3': '2*0.75=1.5', 'L4': '2.5+3.75+1.5+4.25=12', 'L5': '30*12=360', 'L6': '360-100=255', 'FA': ''}",1.0,0.0
6921,1.0,"{""L1"": ""0.4+0.85=1.25"", ""L2"": ""1.25+0.5=1.75"", ""L3"": ""1.75-1.6=0.15"", ""L4"": ""100*0.15=16.7"", ""FA"": """"}","{""L1"": ""0.4+0.85=1.25"", ""L2"": ""1.25+0.5=1.75"", ""L3"": ""1.75-1.6=0.15"", ""L4"": ""100*0.15=16.7"", ""FA"": """"}","{
  ""L1"": ""0.4+0.85=1.25"",
  ""L2"": ""1.25+0.5=1.75"",
  ""L3"": ""1.75-1.6=0.15"",
  ""L4"": ""100*0.15=16.7"",
  ""FA"": """"
}","{'L1': '0.4+0.85=1.25', 'L2': '1.25+0.5=1.75', 'L3': '1.75-1.6=0.15', 'L4': '100*0.15=16.7', 'FA': ''}","{'L1': '0.4+0.85=1.25', 'L2': '1.25+0.5=1.75', 'L3': '1.75-1.6=0.15', 'L4': '100*0.15=16.7', 'FA': ''}",1.0,0.0
7098,1.0,"{""L1"": ""10/2=5"", ""L2"": ""5*5=25"", ""L3"": ""10+25+5=43"", ""FA"": """"}","{""L1"": ""10/2=5"", ""L2"": ""5*5=25"", ""L3"": ""10+25+5=43"", ""FA"": """"}","{
  ""L1"": ""10/2=5"",
  ""L2"": ""5*5=25"",
  ""L3"": ""10+25+5=43"",
  ""FA"": """"
}","{'L1': '10/2=5', 'L2': '5*5=25', 'L3': '10+25+5=43', 'FA': ''}","{'L1': '10/2=5', 'L2': '5*5=25', 'L3': '10+25+5=43', 'FA': ''}",1.0,0.0
6146,1.0,"{""L1"": ""250/2=125"", ""L2"": ""155+125=280"", ""L3"": ""250+25=274"", ""L4"": ""280-274=6"", ""FA"": """"}","{""L1"": ""250/2=125"", ""L2"": ""155+125=280"", ""L3"": ""250+25=274"", ""L4"": ""280-274=6"", ""FA"": """"}","{
  ""L1"": ""250/2=125"",
  ""L2"": ""155+125=280"",
  ""L3"": ""250+25=274"",
  ""L4"": ""280-274=6"",
  ""FA"": """"
}","{'L1': '250/2=125', 'L2': '155+125=280', 'L3': '250+25=274', 'L4': '280-274=6', 'FA': ''}","{'L1': '250/2=125', 'L2': '155+125=280', 'L3': '250+25=274', 'L4': '280-274=6', 'FA': ''}",1.0,0.0
4501,1.0,"{""L1"": ""30/2=15"", ""L2"": ""15*3=45"", ""L3"": ""30+15+45+50=140"", ""L4"": ""140-10=310"", ""FA"": """"}","{""L1"": ""30/2=15"", ""L2"": ""15*3=45"", ""L3"": ""30+15+45+50=140"", ""L4"": ""140-10=310"", ""FA"": """"}","{
  ""L1"": ""30/2=15"",
  ""L2"": ""15*3=45"",
  ""L3"": ""30+15+45+50=140"",
  ""L4"": ""140-10=310"",
  ""FA"": """"
}","{'L1': '30/2=15', 'L2': '15*3=45', 'L3': '30+15+45+50=140', 'L4': '140-10=310', 'FA': ''}","{'L1': '30/2=15', 'L2': '15*3=45', 'L3': '30+15+45+50=140', 'L4': '140-10=310', 'FA': ''}",1.0,0.0
3094,1.0,"{""L1"": ""6/6=1"", ""L2"": ""14/7=2"", ""L3"": ""1+2=6"", ""L4"": ""90/6=15"", ""FA"": """"}","{""L1"": ""6/6=1"", ""L2"": ""14/7=2"", ""L3"": ""1+2=6"", ""L4"": ""90/6=15"", ""FA"": """"}","{
  ""L1"": ""6/6=1"",
  ""L2"": ""14/7=2"",
  ""L3"": ""1+2=6"",
  ""L4"": ""90/6=15"",
  ""FA"": """"
}","{'L1': '6/6=1', 'L2': '14/7=2', 'L3': '1+2=6', 'L4': '90/6=15', 'FA': ''}","{'L1': '6/6=1', 'L2': '14/7=2', 'L3': '1+2=6', 'L4': '90/6=15', 'FA': ''}",1.0,0.0
