answer,erroneous_line_number,error_type,explanation,filepath,index,question,wrong_answer,error_reason,source_catalog,tier,model,correct_trace_generated,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc
"Amelia picks 45 - 18 = <<45-18=27>>27 oranges.
The total number of oranges that they pick is 45 + 27 = <<45+27=72>>72.
George picks 15 + 5 = <<15+5=20>>20 apples.
The total number of apples that they pick is 20 + 15 = <<20+15=35>>35.
So, they pick 72 + 35 = <<72+35=107>>107 fruits altogether.
#### 107",,computational,computational error: Amelia picks 45 - 18 = <<45-18=27>>27 oranges.,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1066,George and Amelia are picking oranges and apples at an orchard. George picks 45 oranges and 5 more apples than Amelia. Amelia picks 18 fewer oranges than George and 15 apples. How many fruits do they pick altogether?,"Amelia picks 45 - 18 = <<45-18=26>>26 oranges.
The total number of oranges that they pick is 45 + 26 = <<45+26=71>>71.
George picks 15 + 5 = <<15+5=20>>20 apples.
The total number of apples that they pick is 20 + 15 = <<20+15=35>>35.
So, they pick 71 + 35 = <<71+35=106>>106 fruits altogether.
#### 106",Missing erroneous_line_number,manual,,,,,,,,,
"His total score for the 2-point shots is 2 x 4 = <<2*4=8>>8.
His total score for the 3-point shots is 3 x 2 = <<3*2=6>>6.
His total score for the first quarter is 8 + 6 = <<8+6=14>>14.
#### 14",,computational,computational error: His total score for the 2-point shots is 2 x 4 = 8 (the calculation of 2*4 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1068,"Matt is playing basketball. In the first quarter, he made 2-point shots four times and 3-point shots twice. How many points did he score for that quarter?","His total score for the 2-point shots is 2 x 4 = <<2*4=6>>6.
His total score for the 3-point shots is 3 x 2 = <<3*2=6>>6.
His total score for the first quarter is 6 + 6 = <<6+6=12>>12.
#### 12",Missing erroneous_line_number,manual,,,,,,,,,
"Maria has 4 + 5 = <<4+5=9>>9 quarters.
The number of dollars from the quarters is 9 * $0.25 = $<<9*0.25=2.25>>2.25
The number of dollars from the dimes is 4 * $0.10 = $<<4*0.10=0.40>>0.40
The number of dollars from the nickels is 7 * $0.05 = $<<7*0.05=0.35>>0.35
The total number of dollars is $2.25 + $0.40 + $0.35 = $<<2.25+0.40+0.35=3>>3
#### 3",,computational,"computational error: The number of dollars from the quarters is 9 * $0.25 = $2.25, not $2.00.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1069,"Maria has 4 dimes, 4 quarters, and 7 nickels in her piggy bank. Her mom gives her 5 quarters. How much money, in dollars, does Maria have now?","Maria has 4 + 5 = <<4+5=9>>9 quarters.
The number of dollars from the quarters is 9 * $0.25 = $<<9*0.25=2.00>>2.00
The number of dollars from the dimes is 4 * $0.10 = $<<4*0.10=0.40>>0.40
The number of dollars from the nickels is 7 * $0.05 = $<<7*0.05=0.35>>0.35
The total number of dollars is $2.00 + $0.40 + $0.35 = $<<2.00+0.40+0.35=2.75>>2.75
#### 2.75",Missing erroneous_line_number,manual,,,,,,,,,
"To make 200 of the first type of shirt, they will need 200*3=<<200*3=600>>600 buttons.
To make 200 of the second type of shirt, they will need 200*5=<<200*5=1000>>1000 buttons.
To manufacture 200 each of both types of shirts, they will need to use 600+1000=1600 buttons.
#### 1600",,computational,"computational error: To make 200 of the first type of shirt, they will need 200*3=600 buttons, not 500.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1072,"The GooGoo brand of clothing manufactures two types of shirts, one with 3 buttons and the other with 5 buttons.  A large department store ordered GooGoo to manufacture 200 of each type of shirt.  How many buttons will the GooGoo brand use to manufacturer all of the shirts for this order?","To make 200 of the first type of shirt, they will need 200*3=<<200*3=500>>500 buttons.
To make 200 of the second type of shirt, they will need 200*5=<<200*5=1000>>1000 buttons.
To manufacture 200 each of both types of shirts, they will need to use 500+1000=1500 buttons.
#### 1500",Missing erroneous_line_number,manual,,,,,,,,,
"When fishers caught 3/4 of the fish that swam westward, their total number reduced by 3/4 * 1800 fish = <<3/4*1800=1350>>1350
The total number of fish that remained from the total number that swam eastward is 1800 fish - 1350 fish = <<1800-1350=450>>450 fish
If fishers caught 2/5 of the fish that swam eastward, their total number reduced by 2/5 * 3200 fish = <<2/5*3200=1280>>1280 fish
3200 fish - 1280 fish = <<3200-1280=1920>>1920 fish remained in the sea from the number that swam westward.
The total number of fish in the sea after fishers caught some is 500 of the number that went north + 450 of the fish that swam westward + 1920 of the fish that swam eastward = <<500+450+1920=2870>>2870 fish
#### 2870",,computational,"computational error: The calculation for 3/4 * 1800 was incorrect. It should be 3/4 * 1800 = 1350, not 1300.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1073,"1,800 fish swim westward, 3,200 swim eastward, and 500 swim north. What is the number of fish left in the sea, if fishers catch 2/5 of the fish that swam eastward and 3/4 of the fish that swam westward?","When fishers caught 3/4 of the fish that swam westward, their total number reduced by 3/4 * 1800 fish = <<3/4*1800=1300>>1300
The total number of fish that remained from the total number that swam eastward is 1800 fish - 1300 fish = <<1800-1300=500>>500 fish
If fishers caught 2/5 of the fish that swam eastward, their total number reduced by 2/5 * 3200 fish = <<2/5*3200=1280>>1280 fish
3200 fish - 1280 fish = <<3200-1280=1920>>1920 fish remained in the sea from the number that swam westward.
The total number of fish in the sea after fishers caught some is 500 of the number that went north + 500 of the fish that swam westward + 1920 of the fish that swam eastward = <<500+500+1920=2920>>2920 fish
#### 2920",Missing erroneous_line_number,manual,,,,,,,,,
"There are 10 tiles that are 6 inches long running the width of the bathroom so it is 10*6 = <<10*6=60>>60 inches long
There are 12 inches in a foot and it’s 60 inches wide so it is 60/12 = 5 feet wide
There are 20 tiles that are 6 inches long running the length of the bathroom so it’s 20*6 = <<20*6=120>>120 inches long
There are 12 inches in a foot and it’s 120 inches long so it is 120/12 = <<120/12=10>>10 feet wide
The square footage is l x w so the bathroom has 10*5 = <<10*5=50>>50 sq feet
#### 50",,computational,"computational error: The width in feet should be 60 / 12 = 5 feet, not 6 feet.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1074,A bathroom has 10 6 inch tiles along its width and 20 6 inch tiles along its length.  What is the square footage of the bathroom?,"There are 10 tiles that are 6 inches long running the width of the bathroom so it is 10*6 = <<10*6=60>>60 inches long
There are 12 inches in a foot and it’s 60 inches wide so it is 60/12 = 6 feet wide
There are 20 tiles that are 6 inches long running the length of the bathroom so it’s 20*6 = <<20*6=120>>120 inches long
There are 12 inches in a foot and it’s 120 inches long so it is 120/12 = <<120/12=10>>10 feet wide
The square footage is l x w so the bathroom has 10*6 = <<10*6=60>>60 sq feet
#### 60",Missing erroneous_line_number,manual,,,,,,,,,
"The flashlight was 20% of the price of the hoodie, so 80 * 20/100 = $<<80*20/100=16>>16.
The promotion for a pair of boots was 110 * 10/100 = $<<110*10/100=11>>11.
So the pair of boots cost 110 - 11 = $<<110-11=99>>99.
Celina therefore spent 80 + 16 + 99 = $<<80+16+99=195>>195 on the equipment.
#### 195",,computational,"computational error: The flashlight cost was 80 * 20/100 = $16, not $18.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1075,"Celina enjoys hiking in the mountains. Due to a lack of proper equipment, she decided to order a new pair of boots, a flashlight, and a special hoodie. The hoodie cost $80 and the flashlight was only 20% of that price. The pair of boots cost was $110, but due to a special promotion, Celina was able to buy them 10% cheaper. How much did Celina spend in total on the above-mentioned equipment?","The flashlight was 20% of the price of the hoodie, so 80 * 20/100 = $<<80*20/100=18>>18.
The promotion for a pair of boots was 110 * 10/100 = $<<110*10/100=11>>11.
So the pair of boots cost 110 - 11 = $<<110-11=99>>99.
Celina therefore spent 80 + 18 + 99 = $<<80+18+99=197>>197 on the equipment.
#### 197",Missing erroneous_line_number,manual,,,,,,,,,
"Her siblings have brought a total of 4 siblings * 2 suitcases each = <<4*2=8>>8 suitcases.
Her parents have brought 2 parents * 3 suitcases each = <<2*3=6>>6 suitcases.
This is a total of 8 + 6 = <<8+6=14>>14 suitcases.
#### 14",,computational,computational error: Her siblings have brought a total of 4 siblings * 2 suitcases each = 8 suitcases (the calculation of 4*2 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1085,"Lily is going abroad on vacation with her family. Each of her 4 siblings is bringing 2 suitcases, and her parents are bringing 3 suitcases. Lily decides that there is already too much luggage and she won't be bringing any. How many suitcases is the entire family bringing on vacation?","Her siblings have brought a total of 4 siblings * 2 suitcases each = <<4*2=6>>6 suitcases.
Her parents have brought 2 parents * 3 suitcases each = <<2*3=6>>6 suitcases.
This is a total of 6 + 6 = <<6+6=12>>12 suitcases.
#### 12",Missing erroneous_line_number,manual,,,,,,,,,
"At the end of the day, he had tested 120 boards, each with three tacks, for a total of 3*120=<<120*3=360>>360 tacks
He had 30 tacks remaining in each of the three cans, for an additional 3*30=<<3*30=90>>90 thumbs tacks.
Therefore, the original total combined number of thumbtacks in the three full cans of thumbtacks was 360+90=<<360+90=450>>450 thumbtacks.
#### 450",,computational,"computational error: The calculation for the total tacks used was incorrect. 3 * 120 should be 360, not 350.",yewei/gsm8k_data/computational/gsm8k_augmented_1001_1100_computational.json,1093,"Lorenzo put three full cans of thumbtacks into his pocket and went off to work at the corkboard factory. It was Lorenzo's job, as head of quality control, to test every cork board for its ability to hold thumbtacks.  He placed one thumbtack from each of the three cans of thumbtacks into every board tested.  At the end of the day, he had tested 120 boards and had 30 tacks remaining in each of the three cans.  What was the total combined number of thumbtacks from the three full cans?","At the end of the day, he had tested 120 boards, each with three tacks, for a total of 3*120=<<3*120=350>>350 tacks
He had 30 tacks remaining in each of the three cans, for an additional 3*30=<<3*30=90>>90 thumbs tacks.
Therefore, the original total combined number of thumbtacks in the three full cans of thumbtacks was 350+90=<<350+90=440>>440 thumbtacks.
#### 440",Missing erroneous_line_number,manual,,,,,,,,,
"The plant supplier earned $50 x 20 = $<<50*20=1000>>1000 for the orchids.
He earned $25 x 15 = $<<25*15=375>>375 for the potted Chinese money plants.
So, his total earnings was $1000 + $375 = $<<1000+375=1375>>1375.
Then he paid $40 x 2 = $<<40*2=80>>80 to his workers.
He used a total of $80 + $150 = $<<80+150=230>>230 for the worker's pay and new pots.
Hence, he was left with $1375 - $230 = $<<1145=1145>>1145 from his earnings.
#### 1145",,conceptual,"incorrect operation: The earnings for the potted Chinese money plants should be calculated by multiplication ($25 x 15 = $375), not addition ($25 + 15).",yewei/gsm8k_data/conceptual/gsm8k_augmented_1001_1100_conceptual.json,1001,A plant supplier was able to sell 20 pieces of orchids for $50 each and 15 pieces potted Chinese money plant for $25. The money he earned was then used to pay his two workers $40 each and to buy new pots worth $150. How much money was left from the plant supplier's earnings?,"The plant supplier earned $50 x 20 = $<<50*20=1000>>1000 for the orchids.
He earned $25 + 15 = $<<25+15=40>>40 for the potted Chinese money plants.
So, his total earnings was $1000 + $40 = $<<1000+40=1040>>1040.
Then he paid $40 x 2 = $<<40*2=80>>80 to his workers.
He used a total of $80 + $150 = $<<80+150=230>>230 for the worker's pay and new pots.
Hence, he was left with $1040 - $230 = $<<1040-230=810>>810 from his earnings.
#### 810",Missing erroneous_line_number,manual,,,,,,,,,
"First find the number of ounces Erin serves per minute: 10 ounces/bowl * 5 bowls/minute = <<10*5=50>>50 ounces/minute
Then find the number of ounces in the pot: 6 gallons * 128 ounces/gallon = <<6*128=768>>768 ounces
Then divide the total amount of soup by the amount of soup Erin serves per minute: 768 minutes / 50 ounces/minute = <<768/50=15.36>>15.36 minutes, which rounds down to 15 minutes
#### 15",,conceptual,"incorrect operation: The number of ounces Erin serves per minute should be calculated by multiplying 10 ounces/bowl by 5 bowls/minute (10 * 5 = 50 ounces/minute), not by adding them.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1001_1100_conceptual.json,1010,"Erin works in the school cafeteria serving soup. Each bowl of soup has 10 ounces, and Erin can serve 5 bowls per minute. If the pot of soup has 6 gallons of soup, how long will it take Erin to serve all the soup, rounded to the nearest minute? (There are 128 ounces to a gallon.)","First find the number of ounces Erin serves per minute: 10 ounces/bowl + 5 bowls/minute = <<10+5=15>>15 ounces/minute
Then find the number of ounces in the pot: 6 gallons * 128 ounces/gallon = <<6*128=768>>768 ounces
Then divide the total amount of soup by the amount of soup Erin serves per minute: 768 minutes / 15 ounces/minute = <<768/15=51.2>>51.2 minutes, which rounds down to 51 minutes
#### 51",Missing erroneous_line_number,manual,,,,,,,,,
"First find the total number of ounces in the water cooler: 3 gallons * 128 ounces/gallon = <<3*128=384>>384 ounces
Then find the total number of dixie cups Bill pours: 5 rows * 10 chairs/row = <<5*10=50>>50 chairs
Then find the total number ounces Bill pours: 50 attendees * 6 ounces/attendee = <<50*6=300>>300 ounces
Then subtract the amount of water Bill pours from the cooler from the initial amount to find the final amount: 384 ounces - 300 ounces = <<384-300=84>>84 ounces
#### 84",,conceptual,"incorrect operation: The total number of ounces in the water cooler should be calculated by multiplying 3 gallons by 128 ounces/gallon (3 * 128 = 384 ounces), not by adding them.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1001_1100_conceptual.json,1030,"While preparing for a meeting, Bill fills Dixie cups with water from out of a water cooler. The water cooler initially contains 3 gallons of water, and each Dixie cup holds 6 ounces of water.  If Bill fills one cup of water per each meeting chair, and there are 5 rows of meeting chairs with 10 chairs in each row, then how many ounces of water will be left in the cooler after all cups have been are filled? (There are 128 ounces in a gallon.)","First find the total number of ounces in the water cooler: 3 gallons + 128 ounces/gallon = <<3+128=131>>131 ounces
Then find the total number of dixie cups Bill pours: 5 rows * 10 chairs/row = <<5*10=50>>50 chairs
Then find the total number ounces Bill pours: 50 attendees * 6 ounces/attendee = <<50*6=300>>300 ounces
Then subtract the amount of water Bill pours from the cooler from the initial amount to find the final amount: 131 ounces - 300 ounces = <<131-300=-169>>-169 ounces
#### -169",Missing erroneous_line_number,manual,,,,,,,,,
"There were 600 - 240 = <<600-240=360>>360 boys at the beginning of the game.
So, 360 x 1/4 = <<360*1/4=90>>90 boys left early.
And 240 x 1/8 = <<240*1/8=30>>30 girls left early.
A total of 90 + 30 = <<90+30=120>>120 people left early.
Therefore, 600 - 120 = <<600-120=480>>480 people remained to see the end of the game.
#### 480",,conceptual,"misunderstanding of problem: The student incorrectly calculated the number of boys who left by taking 1/4 of the total people (600) instead of 1/4 of the boys (360). The problem states ""one-fourth of the boys left early"".",yewei/gsm8k_data/conceptual/gsm8k_augmented_1001_1100_conceptual.json,1031,"There were 600 people in the stadium when the football game started. Before the game was over, one-fourth of the boys and one-eighth of the girls left early. How many people remained to see the end of the game if there were 240 girls at the beginning of the game?","There were 600 - 240 = <<600-240=360>>360 boys at the beginning of the game.
So, 600 x 1/4 = <<600*1/4=150>>150 people left early (assuming 1/4 of total left).
And 240 x 1/8 = <<240*1/8=30>>30 girls left early.
A total of 150 + 30 = <<150+30=180>>180 people left early.
Therefore, 600 - 180 = <<600-180=420>>420 people remained to see the end of the game.
#### 420",Missing erroneous_line_number,manual,,,,,,,,,
