index,tier,question,correct_answer,wrong_answer,error_type,explanation,erroneous_line_number,erroneous_line,erroneous_line_eqn,correct_answer_mapping,wrong_answer_mapping,correct_eqn_mapping,wrong_eqn_mapping,correct_answer_length,wrong_answer_length,source,error_subtype,split
2798,tier4,John works 12 hours every other day.  He gets a 30% raise from his former $20 an hour job.  How much does he make in a 30 day month?,"He works 30/2=15 days
So he works 15*12=180 hours in the month
He got a 20*.3=$6 an hour raise
So he gets paid 20+6=$26 an hour
That means he makes 26*180=$4680
FINAL ANSWER: 4680","He works 30/2=15 days
So he works 15*12=180 hours in the month
He got a 20*0.3=6 an hour raise
So he gets paid 20+6=24 an hour
That means he makes 24*180=4320
FINAL ANSWER: 4320",computational_error,"The result of this computation should be 26, not 24. This appears to be a minor miscalculation.",L4,So he gets paid 20+6=24 an hour,20+6=24,"{
  ""L1"": ""He works 30/2=15 days"",
  ""L2"": ""So he works 15*12=180 hours in the month"",
  ""L3"": ""He got a 20*.3=$6 an hour raise"",
  ""L4"": ""So he gets paid 20+6=$26 an hour"",
  ""L5"": ""That means he makes 26*180=$4680"",
  ""FA"": ""4680""
}","{
  ""L1"": ""He works 30/2=15 days"",
  ""L2"": ""So he works 15*12=180 hours in the month"",
  ""L3"": ""He got a 20*0.3=6 an hour raise"",
  ""L4"": ""So he gets paid 20+6=24 an hour"",
  ""L5"": ""That means he makes 24*180=4320"",
  ""FA"": ""4320""
}","{
  ""L1"": ""30/2=15"",
  ""L2"": ""15*12=180"",
  ""L3"": ""20*.3=6"",
  ""L4"": ""20+6=26"",
  ""L5"": ""26*180=4680"",
  ""FA"": """"
}","{
  ""L1"": ""30/2=15"",
  ""L2"": ""15*12=180"",
  ""L3"": ""20*0.3=6"",
  ""L4"": ""20+6=24"",
  ""L5"": ""24*180=4320"",
  ""FA"": """"
}",6,6,programmatic,generate_off_by_n_error,train
5450,tier4,A group of hawks is called a kettle. It is breeding season for hawks. A group of ornithologists are tracking 6 kettles of hawks. Each kettle has an average of 15 pregnancies that yield 4 babies per batch.  How many babies are expected this season if approximately 25% are lost?,"Each kettle has 15 hawks that get pregnant and each one yields 4 babies per pregnancy so there are 15 * 4= 60 babies expected per kettle.
If 60 baby hawks are expected per kettle and the ornithologists are tracking 6 kettles total then there are 60 * 6=360 baby hawks expected across all six kettles this breeding season.
If there 25% of eggs do not hatch, then we are looking for 25 (percent that do not make it) /100 (total number of babies expected)=.25 (percentage converted to decimal form for the proportion of expected baby hawks to be lost).
The total number of baby hawks expected equals 360 * .25 expected los s= 90 babies not expected to hatch (lost).
There are 360 total number of baby hawks expected and there are 90 babies expected to be lost so 360-90= 270 remaining baby hawks expected this breeding season
FINAL ANSWER: 270","Each kettle has 15 hawks that get pregnant and each one yields 4 babies per pregnancy so there are 15 * 4= 60 babies expected per kettle.
If 60 baby hawks are expected per kettle and the ornithologists are tracking 6 kettles total then there are 60 * 6=360 baby hawks expected across all six kettles this breeding season.
If there 25% of eggs do not hatch, then we are looking for 25 (percent that do not make it) /100 (total number of babies expected)=0.25 (percentage converted to decimal form for the proportion of expected baby hawks to be lost).
The total number of baby hawks expected equals 360 * 0.25 expected los s= 90 babies not expected to hatch (lost).
There are 360 total number of baby hawks expected and there are 90 babies expected to be lost so 360-90= 269 remaining baby hawks expected this breeding season
FINAL ANSWER: 269",computational_error,"The result of this computation should be 270, not 269. This appears to be a minor miscalculation.",L5,There are 360 total number of baby hawks expected and there are 90 babies expected to be lost so 360-90= 269 remaining baby hawks expected this breeding season,360-90=269,"{
  ""L1"": ""Each kettle has 15 hawks that get pregnant and each one yields 4 babies per pregnancy so there are 15 * 4= 60 babies expected per kettle."",
  ""L2"": ""If 60 baby hawks are expected per kettle and the ornithologists are tracking 6 kettles total then there are 60 * 6=360 baby hawks expected across all six kettles this breeding season."",
  ""L3"": ""If there 25% of eggs do not hatch, then we are looking for 25 (percent that do not make it) /100 (total number of babies expected)=.25 (percentage converted to decimal form for the proportion of expected baby hawks to be lost)."",
  ""L4"": ""The total number of baby hawks expected equals 360 * .25 expected los s= 90 babies not expected to hatch (lost)."",
  ""L5"": ""There are 360 total number of baby hawks expected and there are 90 babies expected to be lost so 360-90= 270 remaining baby hawks expected this breeding season"",
  ""FA"": ""270""
}","{
  ""L1"": ""Each kettle has 15 hawks that get pregnant and each one yields 4 babies per pregnancy so there are 15 * 4= 60 babies expected per kettle."",
  ""L2"": ""If 60 baby hawks are expected per kettle and the ornithologists are tracking 6 kettles total then there are 60 * 6=360 baby hawks expected across all six kettles this breeding season."",
  ""L3"": ""If there 25% of eggs do not hatch, then we are looking for 25 (percent that do not make it) /100 (total number of babies expected)=0.25 (percentage converted to decimal form for the proportion of expected baby hawks to be lost)."",
  ""L4"": ""The total number of baby hawks expected equals 360 * 0.25 expected los s= 90 babies not expected to hatch (lost)."",
  ""L5"": ""There are 360 total number of baby hawks expected and there are 90 babies expected to be lost so 360-90= 269 remaining baby hawks expected this breeding season"",
  ""FA"": ""269""
}","{
  ""L1"": ""15*4=60"",
  ""L2"": ""60*6=360"",
  ""L3"": ""25/100=.25"",
  ""L4"": ""360*.25=90"",
  ""L5"": ""360-90=270"",
  ""FA"": """"
}","{
  ""L1"": ""15*4=60"",
  ""L2"": ""60*6=360"",
  ""L3"": ""25/100=0.25"",
  ""L4"": ""360*0.25=90"",
  ""L5"": ""360-90=269"",
  ""FA"": """"
}",6,6,programmatic,generate_off_by_n_error,train
6558,tier4,It takes 20 minutes for John to go to the bathroom 8 times.  How long would it take to go 6 times?,"He spends 20/8=2.5 minutes each time he goes in
So it would take 2.5*6=15 minutes to go 6 times
FINAL ANSWER: 15","He spends 20/8=2.5 minutes each time he goes in
So it would take 2.5*6=51 minutes to go 6 times
FINAL ANSWER: 51",computational_error,"The result of this computation should be 15, not 51. It appears two adjacent digits were swapped.",L2,So it would take 2.5*6=51 minutes to go 6 times,2.5*6=51,"{
  ""L1"": ""He spends 20/8=2.5 minutes each time he goes in"",
  ""L2"": ""So it would take 2.5*6=15 minutes to go 6 times"",
  ""FA"": ""15""
}","{
  ""L1"": ""He spends 20/8=2.5 minutes each time he goes in"",
  ""L2"": ""So it would take 2.5*6=51 minutes to go 6 times"",
  ""FA"": ""51""
}","{
  ""L1"": ""20/8=2.5"",
  ""L2"": ""2.5*6=15"",
  ""FA"": """"
}","{
  ""L1"": ""20/8=2.5"",
  ""L2"": ""2.5*6=51"",
  ""FA"": """"
}",3,3,programmatic,generate_digit_transposition_error,test
5650,tier4,Dustin and Sam are both reading. Dustin can read 75 pages in an hour. Sam can read 24 pages in an hour. How many more pages does Dustin read in 40 minutes compared to Sam?,"Dustin reads 1.25 pages a minute because 75 / 60 = 1.25
Dustin reads 50 pages in 40 minutes because 40 x 1.25 = 50
Sam reads .4 pages a minute because 24 / 60 = .4
Sam reads 16 pages in 40 minutes because 40 x .4 = 16
Dustin reads 34 more pages than Sam because 50 - 16 = 34
FINAL ANSWER: 34","Dustin reads 1.25 pages a minute because 75 / 60 = 1.25
Dustin reads 50 pages in 40 minutes because 40 x 1.25 = 50
Sam reads 0.4 pages a minute because 24 / 60 = 0.4
Sam reads 16 pages in 40 minutes because 40 x 0.4 = 16
Dustin reads 36 more pages than Sam because 50 - 16 = 36
FINAL ANSWER: 36",computational_error,"The result of this computation should be 34, not 36. This appears to be a minor miscalculation.",L5,Dustin reads 36 more pages than Sam because 50 - 16 = 36,50-16=36,"{
  ""L1"": ""Dustin reads 1.25 pages a minute because 75 / 60 = 1.25"",
  ""L2"": ""Dustin reads 50 pages in 40 minutes because 40 x 1.25 = 50"",
  ""L3"": ""Sam reads .4 pages a minute because 24 / 60 = .4"",
  ""L4"": ""Sam reads 16 pages in 40 minutes because 40 x .4 = 16"",
  ""L5"": ""Dustin reads 34 more pages than Sam because 50 - 16 = 34"",
  ""FA"": ""34""
}","{
  ""L1"": ""Dustin reads 1.25 pages a minute because 75 / 60 = 1.25"",
  ""L2"": ""Dustin reads 50 pages in 40 minutes because 40 x 1.25 = 50"",
  ""L3"": ""Sam reads 0.4 pages a minute because 24 / 60 = 0.4"",
  ""L4"": ""Sam reads 16 pages in 40 minutes because 40 x 0.4 = 16"",
  ""L5"": ""Dustin reads 36 more pages than Sam because 50 - 16 = 36"",
  ""FA"": ""36""
}","{
  ""L1"": ""75/60=1.25"",
  ""L2"": ""40*1.25=50"",
  ""L3"": ""24/60=.4"",
  ""L4"": ""40*.4=16"",
  ""L5"": ""34=34"",
  ""FA"": """"
}","{
  ""L1"": ""75/60=1.25"",
  ""L2"": ""40*1.25=50"",
  ""L3"": ""24/60=0.4"",
  ""L4"": ""40*0.4=16"",
  ""L5"": ""50-16=36"",
  ""FA"": """"
}",6,6,programmatic,generate_off_by_n_error,train
5729,tier4,"Milly is making feather boas for her dance team. Each flamingo has 20 tail feathers, and it's only safe to pluck 25% of their tail feathers at one time. If Milly needs to make 12 boas, and each boa has 200 feathers, how many flamingoes does she need to harvest?","First find the number of feathers Milly can get from one flamingo: 20 feathers * 25% = 5 feathers
Then find how many feathers she needs total: 12 boas * 200 feathers/boa = 2400 feathers
Then divide the number of feathers she needs by the number of feathers per flamingo to find the number of flamingoes she needs to harvest: 2400 feathers / 5 feathers/flamingo = 480 flamingoes
FINAL ANSWER: 480","First find the number of feathers Milly can get from one flamingo: 20 feathers * 25% = 5 feathers
Then find how many feathers she needs total: 12 boas * 200 feathers/boa = 240 feathers
Then divide the number of feathers she needs by the number of feathers per flamingo to find the number of flamingoes she needs to harvest: 240 feathers / 5 feathers/flamingo = 48 flamingoes
FINAL ANSWER: 48",computational_error,"The result of this computation should be 2400, not 240. It appears a zero was dropped from the number.",L2,Then find how many feathers she needs total: 12 boas * 200 feathers/boa = 240 feathers,12*200=240,"{
  ""L1"": ""First find the number of feathers Milly can get from one flamingo: 20 feathers * 25% = 5 feathers"",
  ""L2"": ""Then find how many feathers she needs total: 12 boas * 200 feathers/boa = 2400 feathers"",
  ""L3"": ""Then divide the number of feathers she needs by the number of feathers per flamingo to find the number of flamingoes she needs to harvest: 2400 feathers / 5 feathers/flamingo = 480 flamingoes"",
  ""FA"": ""480""
}","{
  ""L1"": ""First find the number of feathers Milly can get from one flamingo: 20 feathers * 25% = 5 feathers"",
  ""L2"": ""Then find how many feathers she needs total: 12 boas * 200 feathers/boa = 240 feathers"",
  ""L3"": ""Then divide the number of feathers she needs by the number of feathers per flamingo to find the number of flamingoes she needs to harvest: 240 feathers / 5 feathers/flamingo = 48 flamingoes"",
  ""FA"": ""48""
}","{
  ""L1"": ""20*25*.01=5"",
  ""L2"": ""12*200=2400"",
  ""L3"": ""2400/5=480"",
  ""FA"": """"
}","{
  ""L1"": ""20*25*0.01=5"",
  ""L2"": ""12*200=240"",
  ""L3"": ""240/5=48"",
  ""FA"": """"
}",4,4,programmatic,generate_off_by_factor_of_10_error,train
2102,tier4,"Maria's monthly salary is $2000. 20% of her salary goes to paying tax, and 5% goes to insurance. Also, a quarter of the money left after the deductions is spent on utility bills. How much money does Maria have after the deductions and utility bills payment?","Maria's deduction for tax is 2000 x 20% = $400.
Her deduction for insurance is 2000 x 5% = $100.
Maria's total deductions is $400 + $100 = $500.
After the deductions, Maria has only $2000 - $500 = $1500 left from her salary.
Then, Maria pays $1500/4 = $375 for the utility bills.
So, Maria has $1500 - $375 = $1125 after the deductions and utility bills payment.
FINAL ANSWER: 1125","Maria's deduction for tax is 2000 x 20% = $400.
Her deduction for insurance is 2000 x 5% = $100.
Maria's total deductions is $400 + $100 = $500.
After the deductions, Maria has only $2000 - $500 = $15000 left from her salary.
Then, Maria pays $15000/4 = $3750 for the utility bills.
So, Maria has $15000 - $3750 = $11250 after the deductions and utility bills payment.
FINAL ANSWER: 11250",computational_error,"The result of this computation should be 1500, not 15000. It appears an extra zero was added to the number.",L4,"After the deductions, Maria has only $2000 - $500 = $15000 left from her salary.",2000-500=15000,"{
  ""L1"": ""Maria's deduction for tax is 2000 x 20% = $400."",
  ""L2"": ""Her deduction for insurance is 2000 x 5% = $100."",
  ""L3"": ""Maria's total deductions is $400 + $100 = $500."",
  ""L4"": ""After the deductions, Maria has only $2000 - $500 = $1500 left from her salary."",
  ""L5"": ""Then, Maria pays $1500/4 = $375 for the utility bills."",
  ""L6"": ""So, Maria has $1500 - $375 = $1125 after the deductions and utility bills payment."",
  ""FA"": ""1125""
}","{
  ""L1"": ""Maria's deduction for tax is 2000 x 20% = $400."",
  ""L2"": ""Her deduction for insurance is 2000 x 5% = $100."",
  ""L3"": ""Maria's total deductions is $400 + $100 = $500."",
  ""L4"": ""After the deductions, Maria has only $2000 - $500 = $15000 left from her salary."",
  ""L5"": ""Then, Maria pays $15000/4 = $3750 for the utility bills."",
  ""L6"": ""So, Maria has $15000 - $3750 = $11250 after the deductions and utility bills payment."",
  ""FA"": ""11250""
}","{
  ""L1"": ""2000*20*.01=400"",
  ""L2"": ""2000*5*.01=100"",
  ""L3"": ""400+100=500"",
  ""L4"": ""2000-500=1500"",
  ""L5"": ""1500/4=375"",
  ""L6"": ""1500-375=1125"",
  ""FA"": """"
}","{
  ""L1"": ""2000*20*0.01=400"",
  ""L2"": ""2000*5*0.01=100"",
  ""L3"": ""400+100=500"",
  ""L4"": ""2000-500=15000"",
  ""L5"": ""15000/4=3750"",
  ""L6"": ""15000-3750=11250"",
  ""FA"": """"
}",7,7,programmatic,generate_off_by_factor_of_10_error,train
5010,tier4,"Jackson wants to start saving for the vacation that he's taking next August, 15 months away.  He wants to save $3000.00.  If he gets paid 2 times a month how much money does he need to set aside, per paycheck, to have enough money saved for his vacation?","He has 15 months to save $3000.00 so that's 3000/15 = $200.00 a month
He gets paid twice a month so he needs to save 200/2 = $100.00 from each paycheck
FINAL ANSWER: 100","He has 15 months to save $3000 so that's 3000/15 = $2000 a month
He gets paid twice a month so he needs to save 2000/2 = $1000 from each paycheck
FINAL ANSWER: 1000",computational_error,"The result of this computation should be 200, not 2000. It appears an extra zero was added to the number.",L1,He has 15 months to save $3000 so that's 3000/15 = $2000 a month,3000/15=2000,"{
  ""L1"": ""He has 15 months to save $3000.00 so that's 3000/15 = $200.00 a month"",
  ""L2"": ""He gets paid twice a month so he needs to save 200/2 = $100.00 from each paycheck"",
  ""FA"": ""100""
}","{
  ""L1"": ""He has 15 months to save $3000 so that's 3000/15 = $2000 a month"",
  ""L2"": ""He gets paid twice a month so he needs to save 2000/2 = $1000 from each paycheck"",
  ""FA"": ""1000""
}","{
  ""L1"": ""3000/15=200.00"",
  ""L2"": ""200/2=100.00"",
  ""FA"": """"
}","{
  ""L1"": ""3000/15=2000"",
  ""L2"": ""2000/2=1000"",
  ""FA"": """"
}",3,3,programmatic,generate_off_by_factor_of_10_error,train
886,tier4,"Jack went to a supermarket with $100 and bought 4 bottles of water. Then his mother called him and asked him to buy twice as many bottles as he already bought. Each bottle cost $2. Finally, he also bought half a pound of cheese and 1 pound of cheese costs $10. How much money does Jack have remaining?","Jack's mother asked him to buy 2 * 4 = 8 bottles of water.
Thus Jack bought 4 + 8 = 12 bottles of water in total.
Altogether, the bottles of water cost 12 * $2 = $24.
The cheese cost 1/2 * $10 = $5.
So Jack spent $24 + $5 = $29 on water and cheese.
Since he started with $100, he now has $100 - $29 = $71 left.
FINAL ANSWER: 71","Jack's mother asked him to buy 2 * 4 = 8 bottles of water.
Thus Jack bought 4 + 8 = 14 bottles of water in total.
Altogether, the bottles of water cost 14 * $2 = $28.
The cheese cost 1/2 * $10 = $5.
So Jack spent $28 + $5 = $33 on water and cheese.
Since he started with $100, he now has $100 - $33 = $67 left.
FINAL ANSWER: 67",computational_error,"The result of this computation should be 12, not 14. This appears to be a minor miscalculation.",L2,Thus Jack bought 4 + 8 = 14 bottles of water in total.,4+8=14,"{
  ""L1"": ""Jack's mother asked him to buy 2 * 4 = 8 bottles of water."",
  ""L2"": ""Thus Jack bought 4 + 8 = 12 bottles of water in total."",
  ""L3"": ""Altogether, the bottles of water cost 12 * $2 = $24."",
  ""L4"": ""The cheese cost 1/2 * $10 = $5."",
  ""L5"": ""So Jack spent $24 + $5 = $29 on water and cheese."",
  ""L6"": ""Since he started with $100, he now has $100 - $29 = $71 left."",
  ""FA"": ""71""
}","{
  ""L1"": ""Jack's mother asked him to buy 2 * 4 = 8 bottles of water."",
  ""L2"": ""Thus Jack bought 4 + 8 = 14 bottles of water in total."",
  ""L3"": ""Altogether, the bottles of water cost 14 * $2 = $28."",
  ""L4"": ""The cheese cost 1/2 * $10 = $5."",
  ""L5"": ""So Jack spent $28 + $5 = $33 on water and cheese."",
  ""L6"": ""Since he started with $100, he now has $100 - $33 = $67 left."",
  ""FA"": ""67""
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4+8=12"",
  ""L3"": ""12*2=24"",
  ""L4"": ""10*0.5=5"",
  ""L5"": ""24+5=29"",
  ""L6"": ""100-29=71"",
  ""FA"": """"
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4+8=14"",
  ""L3"": ""14*2=28"",
  ""L4"": ""10*0.5=5"",
  ""L5"": ""28+5=33"",
  ""L6"": ""100-33=67"",
  ""FA"": """"
}",7,7,programmatic,generate_off_by_n_error,train
2969,tier4,"Frank's laundry detergent is double concentrated and will wash 80 loads of laundry.  His detergent is usually $25.00 a bottle but they're having a sale.  If he buys 2 bottles, both bottles will drop to $20.00 a bottle.  How much does he spend, in cents, per load of laundry, if he buys 2 bottles of detergent?","If he buys 2 bottles, the price drops to $20.00 per bottle so they cost 2*20 = $40.00
He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 160 loads of laundry
The detergent cost $40.00 and he will be able to wash 160 loads of laundry so each load costs 40/160 = $0.25
FINAL ANSWER: 25","If he buys 2 bottles, the price drops to $20 per bottle so they cost 2*20 = $40
He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 610 loads of laundry
The detergent cost $40 and he will be able to wash 610 loads of laundry so each load costs 40/610 = $0.07
FINAL ANSWER: 0.06557377049180328",computational_error,"The result of this computation should be 160, not 610. It appears two adjacent digits were swapped.",L2,He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 610 loads of laundry,80*2=610,"{
  ""L1"": ""If he buys 2 bottles, the price drops to $20.00 per bottle so they cost 2*20 = $40.00"",
  ""L2"": ""He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 160 loads of laundry"",
  ""L3"": ""The detergent cost $40.00 and he will be able to wash 160 loads of laundry so each load costs 40/160 = $0.25"",
  ""FA"": ""25""
}","{
  ""L1"": ""If he buys 2 bottles, the price drops to $20 per bottle so they cost 2*20 = $40"",
  ""L2"": ""He can get 80 loads of laundry per bottle and he bought 2 bottles so that's 80*2 = 610 loads of laundry"",
  ""L3"": ""The detergent cost $40 and he will be able to wash 610 loads of laundry so each load costs 40/610 = $0.07"",
  ""FA"": ""0.06557377049180328""
}","{
  ""L1"": ""2*20=40.00"",
  ""L2"": ""80*2=160"",
  ""L3"": ""40/160=0.25"",
  ""FA"": """"
}","{
  ""L1"": ""2*20=40"",
  ""L2"": ""80*2=610"",
  ""L3"": ""40/610=0.07"",
  ""FA"": """"
}",4,4,programmatic,generate_digit_transposition_error,train
7420,tier4,Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 ounces of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6000 leaves. How many jobs did he complete?,"The ants will need 800 ounces of food because 400 x 2 = 800
The ant food will cost $80 because 800 x .1 = 80
He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $60
He earned $20 from all his jobs because 80 - 60 = 20
He completed 4 jobs because 20 / 5 = 4
FINAL ANSWER: 4","The ants will need 800 ounces of food because 400 x 2 = 800
The ant food will cost $80 because 800 x 0.1 = 80
He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $60
He earned $15 from all his jobs because 80 - 60 = 15
He completed 3 jobs because 15 / 5 = 3
FINAL ANSWER: 3",computational_error,"The result of this computation should be 20, not 15. This appears to be a minor miscalculation.",L4,He earned $15 from all his jobs because 80 - 60 = 15,80-60=15,"{
  ""L1"": ""The ants will need 800 ounces of food because 400 x 2 = 800"",
  ""L2"": ""The ant food will cost $80 because 800 x .1 = 80"",
  ""L3"": ""He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $60"",
  ""L4"": ""He earned $20 from all his jobs because 80 - 60 = 20"",
  ""L5"": ""He completed 4 jobs because 20 / 5 = 4"",
  ""FA"": ""4""
}","{
  ""L1"": ""The ants will need 800 ounces of food because 400 x 2 = 800"",
  ""L2"": ""The ant food will cost $80 because 800 x 0.1 = 80"",
  ""L3"": ""He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $60"",
  ""L4"": ""He earned $15 from all his jobs because 80 - 60 = 15"",
  ""L5"": ""He completed 3 jobs because 15 / 5 = 3"",
  ""FA"": ""3""
}","{
  ""L1"": ""400*2=800"",
  ""L2"": ""800*.1=80"",
  ""L3"": ""6000*0.01=60"",
  ""L4"": ""80-60=20"",
  ""L5"": ""20/5=4"",
  ""FA"": """"
}","{
  ""L1"": ""400*2=800"",
  ""L2"": ""800*0.1=80"",
  ""L3"": ""6000*0.01=60"",
  ""L4"": ""80-60=15"",
  ""L5"": ""15/5=3"",
  ""FA"": """"
}",6,6,programmatic,generate_off_by_n_error,train
4631,tier4,A reporter is paid by the word and per article. She earns $.1 per word. She earns $60 per article. She has to finish three stories in the next 4 hours. She averages 10 words a minute. How much can she expect to earn per hour if she writes the entire time?,"She has 240 minutes to write because 4 x 60 = 240
She will write 2400 words because 240 x 10 = 2400
She will earn $240 for the words because 2400 x .1 = 240
She will earn $180 from the articles because 3 x 60 = 180
She will earn $420 in total because 240 + 180 = 420
She will average $105 an hour because 420 / 4 = 105
FINAL ANSWER: 105","She has 240 minutes to write because 4 x 60 = 240
She will write 240 words because 240 x 10 = 240
She will earn $24 for the words because 240 x 0.1 = 24
She will earn $180 from the articles because 3 x 60 = 180
She will earn $204 in total because 24 + 180 = 204
She will average $51 an hour because 204 / 4 = 51
FINAL ANSWER: 51",computational_error,"The result of this computation should be 2400, not 240. It appears a zero was dropped from the number.",L2,She will write 240 words because 240 x 10 = 240,240*10=240,"{
  ""L1"": ""She has 240 minutes to write because 4 x 60 = 240"",
  ""L2"": ""She will write 2400 words because 240 x 10 = 2400"",
  ""L3"": ""She will earn $240 for the words because 2400 x .1 = 240"",
  ""L4"": ""She will earn $180 from the articles because 3 x 60 = 180"",
  ""L5"": ""She will earn $420 in total because 240 + 180 = 420"",
  ""L6"": ""She will average $105 an hour because 420 / 4 = 105"",
  ""FA"": ""105""
}","{
  ""L1"": ""She has 240 minutes to write because 4 x 60 = 240"",
  ""L2"": ""She will write 240 words because 240 x 10 = 240"",
  ""L3"": ""She will earn $24 for the words because 240 x 0.1 = 24"",
  ""L4"": ""She will earn $180 from the articles because 3 x 60 = 180"",
  ""L5"": ""She will earn $204 in total because 24 + 180 = 204"",
  ""L6"": ""She will average $51 an hour because 204 / 4 = 51"",
  ""FA"": ""51""
}","{
  ""L1"": ""4*60=240"",
  ""L2"": ""240*10=2400"",
  ""L3"": ""2400*.1=240"",
  ""L4"": ""3*60=180"",
  ""L5"": ""240+180=420"",
  ""L6"": ""420/4=105"",
  ""FA"": """"
}","{
  ""L1"": ""4*60=240"",
  ""L2"": ""240*10=240"",
  ""L3"": ""240*0.1=24"",
  ""L4"": ""3*60=180"",
  ""L5"": ""24+180=204"",
  ""L6"": ""204/4=51"",
  ""FA"": """"
}",7,7,programmatic,generate_off_by_factor_of_10_error,train
4676,tier4,"Tim decides to run a campaign for governor.  He gets the maximum $1200 donation from 500 people, and three times as many people donated half this sum of money to his campaign.  These donations together accounted for 40% of the total money that Tim raised.  How much total money did he raise?","He got 1200*500=$600000 from maxed donors
The smaller donors donated 1200/2=$600
He had 500*3=1500 of these donors
So they donated 1500*600=$900000
So large donations where worth 900000+600000=$1500000
So he raised 1500000/.4=$3750000
FINAL ANSWER: 3750000","He got 1200*500=$600000 from maxed donors
The smaller donors donated 1200/2=$600
He had 500*3=1500 of these donors
So they donated 1500*600=$9000000
So large donations where worth 9000000+600000=$9600000
So he raised 9600000/0.4=$24000000
FINAL ANSWER: 24000000",computational_error,"The result of this computation should be 900000, not 9000000. It appears an extra zero was added to the number.",L4,So they donated 1500*600=$9000000,1500*600=9000000,"{
  ""L1"": ""He got 1200*500=$600000 from maxed donors"",
  ""L2"": ""The smaller donors donated 1200/2=$600"",
  ""L3"": ""He had 500*3=1500 of these donors"",
  ""L4"": ""So they donated 1500*600=$900000"",
  ""L5"": ""So large donations where worth 900000+600000=$1500000"",
  ""L6"": ""So he raised 1500000/.4=$3750000"",
  ""FA"": ""3750000""
}","{
  ""L1"": ""He got 1200*500=$600000 from maxed donors"",
  ""L2"": ""The smaller donors donated 1200/2=$600"",
  ""L3"": ""He had 500*3=1500 of these donors"",
  ""L4"": ""So they donated 1500*600=$9000000"",
  ""L5"": ""So large donations where worth 9000000+600000=$9600000"",
  ""L6"": ""So he raised 9600000/0.4=$24000000"",
  ""FA"": ""24000000""
}","{
  ""L1"": ""1200*500=600000"",
  ""L2"": ""1200/2=600"",
  ""L3"": ""500*3=1500"",
  ""L4"": ""1500*600=900000"",
  ""L5"": ""900000+600000=1500000"",
  ""L6"": ""1500000/.4=3750000"",
  ""FA"": """"
}","{
  ""L1"": ""1200*500=600000"",
  ""L2"": ""1200/2=600"",
  ""L3"": ""500*3=1500"",
  ""L4"": ""1500*600=9000000"",
  ""L5"": ""9000000+600000=9600000"",
  ""L6"": ""9600000/0.4=24000000"",
  ""FA"": """"
}",7,7,programmatic,generate_off_by_factor_of_10_error,train
880,tier4,Mr. John jogs for 1 hour 30 minutes in the morning every day. How much time (in hours) will he have spent jogging after two weeks?,"There are 60 minutes in an hour so 1 hour 30 minutes is equivalent to [1 + (30/60)] hours = 1.5 hours
There are 7 days in a week so he spends 1.5*7 = 10.5 hours jogging every week
After 2 weeks he will have spent 2*10.5 = 21 hours jogging.
FINAL ANSWER: 21","There are 60 minutes in an hour so 1 hour 30 minutes is equivalent to [1 + (30/60)] hours = 15 hours
There are 7 days in a week so he spends 15*7 = 105 hours jogging every week
After 2 weeks he will have spent 2*105 = 210 hours jogging.
FINAL ANSWER: 210",computational_error,"The result of this computation should be 1.5, not 15. It appears the decimal point was misplaced.",L1,There are 60 minutes in an hour so 1 hour 30 minutes is equivalent to [1 + (30/60)] hours = 15 hours,15=15,"{
  ""L1"": ""There are 60 minutes in an hour so 1 hour 30 minutes is equivalent to [1 + (30/60)] hours = 1.5 hours"",
  ""L2"": ""There are 7 days in a week so he spends 1.5*7 = 10.5 hours jogging every week"",
  ""L3"": ""After 2 weeks he will have spent 2*10.5 = 21 hours jogging."",
  ""FA"": ""21""
}","{
  ""L1"": ""There are 60 minutes in an hour so 1 hour 30 minutes is equivalent to [1 + (30/60)] hours = 15 hours"",
  ""L2"": ""There are 7 days in a week so he spends 15*7 = 105 hours jogging every week"",
  ""L3"": ""After 2 weeks he will have spent 2*105 = 210 hours jogging."",
  ""FA"": ""210""
}","{
  ""L1"": ""1.5=1.5"",
  ""L2"": ""7*1.5=10.5"",
  ""L3"": ""2*10.5=21"",
  ""FA"": """"
}","{
  ""L1"": ""15=15"",
  ""L2"": ""7*15=105"",
  ""L3"": ""2*105=210"",
  ""FA"": """"
}",4,4,programmatic,generate_decimal_shift_error,train
