problem_index,rigorous_score,expected_json,predicted_json,full_prediction_text
4986,0.25,"{""L1"": ""4+2+0.5+2.5=9"", ""L2"": ""9/6=1.5"", ""L3"": ""6-2=8"", ""L4"": ""8*1.5=12"", ""FA"": """"}","{""L1"": ""4 + 2 + 0.5 + 2.5 = 9"", ""L2"": ""1.5/slice = 1.5"", ""L3"": ""6 - 2 = 4"", ""L4"": ""4 * 1.5 = 6"", ""FA"": ""12""}","```json
{
  ""L1"": ""4 + 2 + 0.5 + 2.5 = 9"",
  ""L2"": ""1.5/slice = 1.5"",
  ""L3"": ""6 - 2 = 4"",
  ""L4"": ""4 * 1.5 = 6"",
  ""FA"": ""12""
}
```"
6909,0.5,"{""L1"": ""75/50=15"", ""L2"": ""8*15=120"", ""FA"": """"}","{""L1"": ""75 / 50 = 15 times as many chairs"", ""L2"": ""8 * 15 = 120"", ""FA"": ""120""}","```json
{
  ""L1"": ""75 / 50 = 15 times as many chairs"",
  ""L2"": ""8 * 15 = 120"",
  ""FA"": ""120""
}
```"
5489,0.5,"{""L1"": ""0.45*30=135"", ""L2"": ""135/0.5=270"", ""FA"": """"}","{""L1"": ""0.45 * 30 = 135"", ""L2"": ""270 / 0.5 = 540"", ""FA"": ""540""}","```json
{
  ""L1"": ""0.45 * 30 = 135"",
  ""L2"": ""270 / 0.5 = 540"",
  ""FA"": ""540""
}
```"
5450,0.0,"{""L1"": ""15*4=60"", ""L2"": ""60*6=360"", ""L3"": ""25/100=0.25"", ""L4"": ""360*0.25=90"", ""L5"": ""360-90=207"", ""FA"": """"}","{""L1"": ""60 babies per kettle"", ""L2"": ""360 babies expected"", ""L3"": ""25% of expected lost babies do not hatch, so 0.25 * 360 = 80 baby hawks not expected to hatch."", ""L4"": ""remaining hawks expected = 360 - 80 = 280"", ""L5"": ""207""}","```json
{
  ""L1"": ""60 babies per kettle"",
  ""L2"": ""360 babies expected"",
  ""L3"": ""25% of expected lost babies do not hatch, so 0.25 * 360 = 80 baby hawks not expected to hatch."",
  ""L4"": ""remaining hawks expected = 360 - 80 = 280"",
  ""L5"": ""207""
}
```"
4966,0.0,"{""L1"": ""(2/100)*90=1.8"", ""L2"": ""(2/100)*60=1.2"", ""L3"": ""90+1.8+1.2=93"", ""L4"": ""400-93=308"", ""FA"": """"}","{""L1"": ""2% of $90 is (2/100)*$90 = $1.8"", ""L2"": ""2% of $60 is (2/100)*$60 = $1.2"", ""L3"": ""The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $93 was deducted from his account"", ""L4"": ""He will have a balance of $400-$93 = $307"", ""FA"": ""307""}","```json
{
  ""L1"": ""2% of $90 is (2/100)*$90 = $1.8"",
  ""L2"": ""2% of $60 is (2/100)*$60 = $1.2"",
  ""L3"": ""The second transaction was reversed without the service charge so only a total of $90+$1.8+$1.2 = $93 was deducted from his account"",
  ""L4"": ""He will have a balance of $400-$93 = $307"",
  ""FA"": ""307""
}
```"
2420,0.6666666666666666,"{""L1"": ""12*1.25=51"", ""L2"": ""51+21=72"", ""L3"": ""72/12=6"", ""FA"": """"}","{""L1"": ""12*1.25 = 15"", ""L2"": ""51+21=72"", ""L3"": ""72/12=6"", ""FA"": ""6""}","```json
{
  ""L1"": ""12*1.25 = 15"",
  ""L2"": ""51+21=72"",
  ""L3"": ""72/12=6"",
  ""FA"": ""6""
}
```"
6474,0.0,"{""L1"": ""300*4=1020"", ""L2"": ""350*3.5=1225"", ""L3"": ""1225-1020=205"", ""FA"": """"}","{""L1"": ""1020"", ""L2"": ""1225"", ""L3"": ""205"", ""FA"": ""205""}","```json
{
  ""L1"": ""1020"",
  ""L2"": ""1225"",
  ""L3"": ""205"",
  ""FA"": ""205""
}
```"
3287,0.0,"{""L1"": ""100*2=200"", ""L2"": ""100*250*0.01=250"", ""L3"": ""100*2=200"", ""L4"": ""200+250+200=605"", ""FA"": """"}","{""L1"": ""200/day * 2 = 400"", ""L2"": ""250/day * 250 = 6250"", ""L3"": ""400 + 6250 = 6650"", ""L4"": ""605/day"", ""FA"": ""605""}","```json
{
  ""L1"": ""200/day * 2 = 400"",
  ""L2"": ""250/day * 250 = 6250"",
  ""L3"": ""400 + 6250 = 6650"",
  ""L4"": ""605/day"",
  ""FA"": ""605""
}
```"
113,0.0,"{""L1"": ""25*0.2=5"", ""L2"": ""25-5=25"", ""L3"": ""25*2=50"", ""L4"": ""50+25=75"", ""FA"": """"}","{""L1"": ""5 x 25 = 125"", ""L2"": ""25 - 125 = -100"", ""L3"": ""25 + 50 = 75"", ""L4"": ""25 + 75 = 100""}","```json
{
  ""L1"": ""5 x 25 = 125"",
  ""L2"": ""25 - 125 = -100"",
  ""L3"": ""25 + 50 = 75"",
  ""L4"": ""25 + 75 = 100""
}
```"
3545,0.0,"{""L1"": ""1*2*7=14"", ""L2"": ""0.25*4*7=7"", ""L3"": ""14+7=12"", ""FA"": """"}","{""L1"": ""14"", ""L2"": ""7"", ""L3"": ""12"", ""FA"": ""12""}","```json
{
  ""L1"": ""14"",
  ""L2"": ""7"",
  ""L3"": ""12"",
  ""FA"": ""12""
}
```"
5128,0.3333333333333333,"{""L1"": ""100*0.8=80"", ""L2"": ""80*25=2000"", ""L3"": ""2000-1000=1003"", ""FA"": """"}","{""L1"": ""100*0.8=80 customers bought something"", ""L2"": ""80*25=2000"", ""L3"": ""He gained 2000-1000=1003"", ""FA"": ""1003""}","```json
{
  ""L1"": ""100*0.8=80 customers bought something"",
  ""L2"": ""80*25=2000"",
  ""L3"": ""He gained 2000-1000=1003"",
  ""FA"": ""1003""
}
```"
6939,0.75,"{""L1"": ""9*22=918"", ""L2"": ""22+4=26"", ""L3"": ""918+26=944"", ""L4"": ""944*0.5=472"", ""FA"": """"}","{""L1"": ""918 episodes"", ""L2"": ""22+4=26"", ""L3"": ""918+26=944"", ""L4"": ""944*0.5=472"", ""FA"": ""472""}","```json
{
  ""L1"": ""918 episodes"",
  ""L2"": ""22+4=26"",
  ""L3"": ""918+26=944"",
  ""L4"": ""944*0.5=472"",
  ""FA"": ""472""
}
```"
6116,0.0,"{""L1"": ""8*200=1060"", ""L2"": ""1060*30*0.01=318"", ""L3"": ""318*4=1272"", ""FA"": """"}","{""L1"": ""1060 pine cones"", ""L2"": ""318 pine cones"", ""L3"": ""1272 ounces"", ""FA"": ""1272""}","```json
{
  ""L1"": ""1060 pine cones"",
  ""L2"": ""318 pine cones"",
  ""L3"": ""1272 ounces"",
  ""FA"": ""1272""
}
```"
4817,0.75,"{""L1"": ""250*0.4=10"", ""L2"": ""250+10=260"", ""L3"": ""260*0.1=26"", ""L4"": ""260-26=234"", ""FA"": """"}","{""L1"": ""10 more than the old costume"", ""L2"": ""250+10=260"", ""L3"": ""260*0.1=26"", ""L4"": ""260-26=234"", ""FA"": ""234""}","```json
{
  ""L1"": ""10 more than the old costume"",
  ""L2"": ""250+10=260"",
  ""L3"": ""260*0.1=26"",
  ""L4"": ""260-26=234"",
  ""FA"": ""234""
}
```"
3547,0.0,"{""L1"": ""8000*0.3=2400"", ""L2"": ""8000-2400=5600"", ""L3"": ""6-2-1=3"", ""L4"": ""8000*0.5=4000"", ""L5"": ""8000+4000=1200"", ""L6"": ""3*1200=3600"", ""L7"": ""8000*2=16000"", ""L8"": ""5600+16000+3600=25200"", ""FA"": """"}","{""L1"": ""His smaller truck is 8000*0.3=2400 gallons smaller"", ""L2"": ""So it can transport 8000-2400=5600 gallons"", ""L3"": ""There are 6-2-1=3 of the very large trucks"", ""L4"": ""Those trucks are each 8000*0.5=4000 gallons larger"", ""L5"": ""So they can transport 8000+4000=1200 gallons"", ""L6"": ""So in total they transport 3*1200=3600 gallons"", ""L7"": ""The 8000-gallon trucks can transport 8000*2=16000 gallons"", ""L8"": ""So in total he can transport 5600+16000+3600=57600 gallons"", ""FA"": ""57600""}","```json
{
  ""L1"": ""His smaller truck is 8000*0.3=2400 gallons smaller"",
  ""L2"": ""So it can transport 8000-2400=5600 gallons"",
  ""L3"": ""There are 6-2-1=3 of the very large trucks"",
  ""L4"": ""Those trucks are each 8000*0.5=4000 gallons larger"",
  ""L5"": ""So they can transport 8000+4000=1200 gallons"",
  ""L6"": ""So in total they transport 3*1200=3600 gallons"",
  ""L7"": ""The 8000-gallon trucks can transport 8000*2=16000 gallons"",
  ""L8"": ""So in total he can transport 5600+16000+3600=57600 gallons"",
  ""FA"": ""57600""
}
```"
6669,0.3333333333333333,"{""L1"": ""5*0.5=2.5"", ""L2"": ""3*1.25=3.75"", ""L3"": ""2*0.75=1.5"", ""L4"": ""2.5+3.75+1.5+4.25=12"", ""L5"": ""30*12=360"", ""L6"": ""360-100=255"", ""FA"": """"}","{""L1"": ""5*2.5 = 12.5"", ""L2"": ""3*1.25 = 3.75"", ""L3"": ""2*0.75 = 1.5"", ""L4"": ""12.5 + 3.75 + 1.5 + 4.25 = 21.5"", ""L5"": ""30 * $12 = $360"", ""L6"": ""360 - $100 = $255"", ""FA"": ""255""}","```json
{
  ""L1"": ""5*2.5 = 12.5"",
  ""L2"": ""3*1.25 = 3.75"",
  ""L3"": ""2*0.75 = 1.5"",
  ""L4"": ""12.5 + 3.75 + 1.5 + 4.25 = 21.5"",
  ""L5"": ""30 * $12 = $360"",
  ""L6"": ""360 - $100 = $255"",
  ""FA"": ""255""
}
```"
6921,0.75,"{""L1"": ""0.4+0.85=1.25"", ""L2"": ""1.25+0.5=1.75"", ""L3"": ""1.75-1.6=0.15"", ""L4"": ""100*0.15=16.7"", ""FA"": """"}","{""L1"": ""0.4 + 0.85 = 1.25"", ""L2"": ""1.25 + 0.5 = 1.75"", ""L3"": ""1.75 - 1.6 = 0.15"", ""L4"": ""16.7033063368""}","```json
{
  ""L1"": ""0.4 + 0.85 = 1.25"",
  ""L2"": ""1.25 + 0.5 = 1.75"",
  ""L3"": ""1.75 - 1.6 = 0.15"",
  ""L4"": ""16.7033063368""
}
```"
7098,0.3333333333333333,"{""L1"": ""10/2=5"", ""L2"": ""5*5=25"", ""L3"": ""10+25+5=43"", ""FA"": """"}","{""L1"": ""5"", ""L2"": ""25"", ""L3"": ""10 + 25 + 5 = 43"", ""FA"": ""43""}","```json
{
  ""L1"": ""5"",
  ""L2"": ""25"",
  ""L3"": ""10 + 25 + 5 = 43"",
  ""FA"": ""43""
}
```"
6146,0.0,"{""L1"": ""250/2=125"", ""L2"": ""155+125=280"", ""L3"": ""250+25=274"", ""L4"": ""280-274=6"", ""FA"": """"}",{},"```json
{
  ""L1"": ""Rick's savings are half the price of the gift, which is $250/2 = $125."",
  ""L2"": ""The total savings for the two siblings is $155 + $125 = $280."",
  ""L3"": ""Mom's gift costs $250 + $25 for the cake = $274"",
  ""L4"": ""Subtracting the total cost of the gift from the total savings, we get $280 - $274 = $6 left."",
  ""FA"": ""6""
}
```"
4501,0.75,"{""L1"": ""30/2=15"", ""L2"": ""15*3=45"", ""L3"": ""30+15+45+50=140"", ""L4"": ""140-10=310"", ""FA"": """"}","{""L1"": ""30/2=15"", ""L2"": ""15*3=45"", ""L3"": ""30+15+45+50=140"", ""L4"": ""140-10=130"", ""FA"": ""310""}","```json
{
  ""L1"": ""30/2=15"",
  ""L2"": ""15*3=45"",
  ""L3"": ""30+15+45+50=140"",
  ""L4"": ""140-10=130"",
  ""FA"": ""310""
}
```"
3094,0.0,"{""L1"": ""6/6=1"", ""L2"": ""14/7=2"", ""L3"": ""1+2=6"", ""L4"": ""90/6=15"", ""FA"": """"}","{""L1"": ""1 hour"", ""L2"": ""2 hours"", ""L3"": ""6 hours"", ""L4"": ""15"", ""FA"": ""15""}","```json
{
  ""L1"": ""1 hour"",
  ""L2"": ""2 hours"",
  ""L3"": ""6 hours"",
  ""L4"": ""15"",
  ""FA"": ""15""
}
```"
1951,0.0,"{""L1"": ""5+5=10"", ""L2"": ""100-10=80"", ""L3"": ""80/10=8"", ""L4"": ""8+1=9"", ""FA"": """"}","{""L1"": ""10 chips eaten"", ""L2"": ""100 - 10 = 80 chips remaining"", ""L3"": ""80 / 10 = 8 days"", ""L4"": ""8 + 1 = 9 days"", ""FA"": ""9""}","```json
{
  ""L1"": ""10 chips eaten"",
  ""L2"": ""100 - 10 = 80 chips remaining"",
  ""L3"": ""80 / 10 = 8 days"",
  ""L4"": ""8 + 1 = 9 days"",
  ""FA"": ""9""
}
```"
687,0.5,"{""L1"": ""24/2*1=12"", ""L2"": ""24/2*2=24"", ""L3"": ""12+24=39"", ""L4"": ""39-30=9"", ""FA"": """"}","{""L1"": ""24/2*1 = 12"", ""L2"": ""24/2*2 = 24"", ""L3"": ""12+24=36"", ""L4"": ""30-36= -6"", ""FA"": ""9""}","```json
{
  ""L1"": ""24/2*1 = 12"",
  ""L2"": ""24/2*2 = 24"",
  ""L3"": ""12+24=36"",
  ""L4"": ""30-36= -6"",
  ""FA"": ""9""
}
```"
4373,0.0,"{""L1"": ""32/2=16"", ""L2"": ""11+14+16=37"", ""L3"": ""37*6=222"", ""L4"": ""222-99=123"", ""FA"": """"}","{""L1"": ""32 / 2 = 16 weeds"", ""L2"": ""11 + 14 + 16 = 41"", ""L3"": ""41 * 6 = 246"", ""L4"": ""123"", ""FA"": ""123""}","```json
{
  ""L1"": ""32 / 2 = 16 weeds"",
  ""L2"": ""11 + 14 + 16 = 41"",
  ""L3"": ""41 * 6 = 246"",
  ""L4"": ""123"",
  ""FA"": ""123""
}
```"
7126,0.0,"{""L1"": ""100-30=70"", ""L2"": ""100+70=710"", ""L3"": ""710*10/100=71"", ""L4"": ""710-71=639"", ""FA"": """"}","{""L1"": ""The dryer costs $100 - $30 = $70."", ""L2"": ""So the washing machine and dryer cost $100 + $70 = $170."", ""L3"": ""Hannah got $170 x 10/100 = $17 discount."", ""L4"": ""Thus, Hannah paid $170 - $17 = $153."", ""FA"": ""153""}","```json
{
  ""L1"": ""The dryer costs $100 - $30 = $70."",
  ""L2"": ""So the washing machine and dryer cost $100 + $70 = $170."",
  ""L3"": ""Hannah got $170 x 10/100 = $17 discount."",
  ""L4"": ""Thus, Hannah paid $170 - $17 = $153."",
  ""FA"": ""153""
}
```"
4945,0.0,"{""L1"": ""300/3*2=2000"", ""L2"": ""2000/2=1000"", ""L3"": ""2000/2=1000"", ""L4"": ""1000/2=500"", ""L5"": ""1000-500=500"", ""FA"": """"}","{""L1"": ""300x2 = 600 females"", ""L2"": ""600/2 = 300 females"", ""L3"": ""300/2 = 150 females"", ""L4"": ""150/2 = 75 females"", ""L5"": ""500""}","```json
{
  ""L1"": ""300x2 = 600 females"",
  ""L2"": ""600/2 = 300 females"",
  ""L3"": ""300/2 = 150 females"",
  ""L4"": ""150/2 = 75 females"",
  ""L5"": ""500""
}
```"
4238,0.75,"{""L1"": ""8/4=2"", ""L2"": ""8-2+1=7"", ""L3"": ""7+3=6"", ""L4"": ""12-6=6"", ""FA"": """"}","{""L1"": ""8 / 4 = 2"", ""L2"": ""8 - 2 + 1 = 7"", ""L3"": ""7 + 3 = 10"", ""L4"": ""12 - 6 = 6""}","```json
{
  ""L1"": ""8 / 4 = 2"",
  ""L2"": ""8 - 2 + 1 = 7"",
  ""L3"": ""7 + 3 = 10"",
  ""L4"": ""12 - 6 = 6""
}
```"
7439,0.0,"{""L1"": ""96/2=48"", ""L2"": ""48/4=12"", ""L3"": ""48/8=6"", ""L4"": ""12+6=81"", ""L5"": ""96-81=15"", ""FA"": """"}","{""L1"": ""48/2 = 24 ripe oranges."", ""L2"": ""24/4 = 6 ripe oranges were eaten."", ""L3"": ""48/8 = 6 unripe oranges were eaten."", ""L4"": ""24+6 = 30 ripe oranges were eaten."", ""L5"": ""96-30 = 66 oranges left uneaten.""}","```json
{
  ""L1"": ""48/2 = 24 ripe oranges."",
  ""L2"": ""24/4 = 6 ripe oranges were eaten."",
  ""L3"": ""48/8 = 6 unripe oranges were eaten."",
  ""L4"": ""24+6 = 30 ripe oranges were eaten."",
  ""L5"": ""96-30 = 66 oranges left uneaten.""
}
```"
6344,0.0,"{""L1"": ""5*2=10"", ""L2"": ""10*1000=100000"", ""L3"": ""100000/250=400"", ""FA"": """"}","{""L1"": ""10 liters of juice"", ""L2"": ""100000"", ""L3"": ""400*250=100000"", ""FA"": ""400""}","```json
{
  ""L1"": ""10 liters of juice"",
  ""L2"": ""100000"",
  ""L3"": ""400*250=100000"",
  ""FA"": ""400""
}
```"
3004,0.0,"{""L1"": ""12*4=48"", ""L2"": ""48/6=8"", ""L3"": ""8*5=40"", ""L4"": ""48/8=6"", ""L5"": ""6*3=18"", ""L6"": ""40-18=18"", ""FA"": """"}","{""L1"": ""48 ounces"", ""L2"": ""8 cartons"", ""L3"": ""48/6 = 8"", ""L4"": ""6 cartons"", ""L5"": ""18"", ""L6"": ""18""}","```json
{
  ""L1"": ""48 ounces"",
  ""L2"": ""8 cartons"",
  ""L3"": ""48/6 = 8"",
  ""L4"": ""6 cartons"",
  ""L5"": ""18"",
  ""L6"": ""18""
}
```"
6073,0.3333333333333333,"{""L1"": ""35/5=7"", ""L2"": ""7*3=12"", ""L3"": ""35-12=23"", ""L4"": ""10*3=30"", ""L5"": ""30-10=20"", ""L6"": ""23+20=43"", ""FA"": """"}","{""L1"": ""7*3 = 21"", ""L2"": ""12*3 = 36"", ""L3"": ""21-36 = -15"", ""L4"": ""10*3 = 30"", ""L5"": ""30-30 = 0"", ""L6"": ""23+20 = 43""}","```json
{
  ""L1"": ""7*3 = 21"",
  ""L2"": ""12*3 = 36"",
  ""L3"": ""21-36 = -15"",
  ""L4"": ""10*3 = 30"",
  ""L5"": ""30-30 = 0"",
  ""L6"": ""23+20 = 43""
}
```"
3061,0.0,"{""L1"": ""35+5=41"", ""L2"": ""35+41=76"", ""L3"": ""76*10=760"", ""L4"": ""4/5*760=608"", ""L5"": ""760-608=152"", ""FA"": """"}","{""L1"": ""35 + 5 = 41 hours"", ""L2"": ""35 + 41 = 76 hours"", ""L3"": ""76 x $10 = $760"", ""L4"": ""4/5 * $760 = $608"", ""L5"": ""152""}","```json
{
  ""L1"": ""35 + 5 = 41 hours"",
  ""L2"": ""35 + 41 = 76 hours"",
  ""L3"": ""76 x $10 = $760"",
  ""L4"": ""4/5 * $760 = $608"",
  ""L5"": ""152""
}
```"
1334,0.3333333333333333,"{""L1"": ""1500-135-141=1224"", ""L2"": ""8-2=6"", ""L3"": ""1224/6=240"", ""FA"": """"}","{""L1"": ""1500 - 135 - 141 = 1224"", ""L2"": ""8 hours - 2 hours = 6 hours remaining"", ""L3"": ""1224 / 6 = 204 envelopes per hour"", ""FA"": ""204""}","```json
{
  ""L1"": ""1500 - 135 - 141 = 1224"",
  ""L2"": ""8 hours - 2 hours = 6 hours remaining"",
  ""L3"": ""1224 / 6 = 204 envelopes per hour"",
  ""FA"": ""204""
}
```"
3216,0.0,"{""L1"": ""12/2=6"", ""L2"": ""12*2=24"", ""L3"": ""24-6=81"", ""L4"": ""81*3=243"", ""FA"": """"}","{""L1"": ""6 roses"", ""L2"": ""24 roses"", ""L3"": ""24 - 6 = 18"", ""L4"": ""81 x 3 = 243"", ""FA"": ""243""}","```json
{
  ""L1"": ""6 roses"",
  ""L2"": ""24 roses"",
  ""L3"": ""24 - 6 = 18"",
  ""L4"": ""81 x 3 = 243"",
  ""FA"": ""243""
}
```"
5534,0.0,"{""L1"": ""20*20=400"", ""L2"": ""600*40/100=240"", ""L3"": ""24*15=360"", ""L4"": ""400+240+360=1000"", ""L5"": ""1000+1500=2500"", ""L6"": ""2500-2345=515"", ""FA"": """"}","{""L1"": ""400"", ""L2"": ""240"", ""L3"": ""360"", ""L4"": ""24*15=360"", ""L5"": ""400 + 240 + 360 = 1000"", ""L6"": ""515""}","```json
{
  ""L1"": ""400"",
  ""L2"": ""240"",
  ""L3"": ""360"",
  ""L4"": ""24*15=360"",
  ""L5"": ""400 + 240 + 360 = 1000"",
  ""L6"": ""515""
}
```"
